Offspring ID	O loci typed	Known parent ID	KP loci typed	KP class	O-KP loci compared	0-KP loci mismatching	Prob. non-exclusion	Candidate parent ID	CP loci typed	O-CP loci compared	O-CP loci mismatching	O-KP-CP loci compared	O-KP-CP loci mismatching	LOD	Delta	Confidence
1927_1T	8	1927	9	Typed	8	0	 2.96602457761765E-0001	1927	9	8	0	8	0	 3.10600137710571E+0000	 3.10600137710571E+0000	*
1927_4T	8	1927	9	Typed	8	0	 2.96602457761765E-0001	1927	9	8	0	8	0	 3.10600137710571E+0000	 3.10600137710571E+0000	*
1927_5T	7	1927	9	Typed	7	0	 2.96797603368759E-0001	1927	9	7	0	7	0	 3.07810425758362E+0000	 3.07810425758362E+0000	*
1927_1E	7	1927	9	Typed	7	0	 2.28591170161962E-0002	1927	9	7	0	7	2	-2.10269284248352E+0000	 0.00000000000000E+0000	
1927_4E	7	1927	9	Typed	7	0	 4.21053046011366E-0005	1927	9	7	0	7	3	-1.02829635143280E+0000	 0.00000000000000E+0000	
1927_5E	7	1927	9	Typed	7	0	 5.03205507993698E-0002	1927	9	7	0	7	2	-9.60556924343109E-0001	 0.00000000000000E+0000	
1928_1T	6	1928	9	Typed	6	0	 3.05303543806076E-0001	1928	9	6	0	6	0	 2.77698826789856E+0000	 2.77698826789856E+0000	*
1928_3T	7	1928	9	Typed	7	0	 2.83327490091324E-0001	1928	9	7	0	7	0	 3.07772636413574E+0000	 3.07772636413574E+0000	*
1928_4T	6	1928	9	Typed	6	0	 3.05303543806076E-0001	1928	9	6	0	6	0	 2.77698826789856E+0000	 2.77698826789856E+0000	*
1928_1E	6	1928	9	Typed	6	0	 2.25198060274124E-0001	1928	9	6	0	6	0	 2.66593384742737E+0000	 2.66593384742737E+0000	*
1928_3E	7	1928	9	Typed	7	0	 2.19372957944870E-0001	1928	9	7	0	7	0	 2.91820764541626E+0000	 2.91820764541626E+0000	*
1928_4E	6	1928	9	Typed	6	0	 2.75455415248871E-0001	1928	9	6	0	6	0	 3.00337314605713E+0000	 3.00337314605713E+0000	*
1847_1T	7	1847	9	Typed	7	0	 1.86713077127934E-0002	1847	9	7	0	7	0	 6.14627933502197E+0000	 6.14627933502197E+0000	*
1847_2T	9	1847	9	Typed	9	0	 1.54584238771349E-0003	1847	9	9	0	9	0	 8.90311527252197E+0000	 8.90311527252197E+0000	*
1847_3T	9	1847	9	Typed	9	0	 1.54584238771349E-0003	1847	9	9	0	9	0	 8.90311527252197E+0000	 8.90311527252197E+0000	*
1847_1E	6	1847	9	Typed	6	0	 9.11787450313568E-0002	1847	9	6	0	6	4	-3.68193268775940E+0000	 0.00000000000000E+0000	
1847_2E	6	1847	9	Typed	6	0	 8.70094925630838E-0004	1847	9	6	0	6	4	-2.27910113334656E+0000	 0.00000000000000E+0000	
1847_3E	8	1847	9	Typed	8	0	 7.75510966777801E-0002	1847	9	8	0	8	5	-1.87113738059998E+0000	 0.00000000000000E+0000	
