FILE,PLANT,Fam001A,Fam001B,FamMg3A,FamMg3B,Fam018A,Fam018B,Tet403A,Tet403B,TetE02A,TetE02B,TetMC5A,TetMC5B,Hex406A,Hex406B,Hex402A,Hex402B,HexA05A,HexA05B
01_1A,357,124,126,179,193,246,248,109,145,175,185,235,239,98,100,138,152,200,202
02_2A,359,124,126,195,195,246,248,125,127,185,185,239,239,98,100,148,154,200,202
03_3A,360,124,124,179,195,248,248,107,145,163,175,235,239,100,102,140,148,196,202
04_4A,362,124,124,179,195,246,248,107,107,169,185,235,239,98,98,148,152,196,200
05_5A,364,122,124,195,195,246,248,107,145,163,163,235,235,100,102,140,148,196,200
06_6A,365,122,124,177,195,246,246,107,107,175,185,235,235,98,102,148,154,200,200
07_7A,372,122,124,179,195,246,248,107,145,185,185,235,235,98,102,148,152,196,200
08_8A,373,122,124,195,207,246,246,107,107,185,189,235,239,100,102,138,152,196,200
09_1B,375,122,122,179,205,246,248,107,107,185,185,235,235,98,98,148,148,200,200
10_2B,377,122,124,179,179,248,248,107,145,185,185,235,239,98,102,148,152,196,196
11_3B,378,124,124,179,179,246,248,105,107,169,171,235,235,98,100,148,148,200,200
12_4B,379,124,126,187,195,248,248,107,125,185,185,235,239,100,102,140,152,196,202
13_5B,380,122,124,179,205,246,248,107,107,171,185,235,235,98,98,140,148,196,200
14_6B,385,124,124,179,179,246,248,107,107,171,185,235,235,100,100,140,148,200,200
15_7B,396,122,126,179,187,246,248,107,107,185,185,235,239,98,100,140,152,196,202
16_8B,397,124,124,179,179,246,248,106,106,185,185,235,239,98,98,148,148,196,200
17_1C,398,124,124,179,179,246,248,107,107,185,185,235,239,98,98,148,148,196,196
18_2C,399,124,124,179,179,246,248,105,107,185,185,235,239,98,98,148,148,200,200
19_3C,400,124,124,179,179,246,248,106,106,169,185,235,235,98,98,148,148,200,200
20_4C,1820,124,124,179,205,246,248,113,119,175,185,239,239,98,98,138,138,200,202
21_5C,1821,124,124,177,179,246,246,107,107,175,175,235,235,98,98,142,152,200,202
22_6C,1822,124,124,179,195,246,248,125,145,185,185,235,235,98,100,140,152,196,200
23_7C,1823,114,124,179,179,246,248,107,107,175,175,235,235,98,98,142,142,200,202
24_8C,1824,122,124,179,179,246,246,145,145,185,185,235,235,98,98,138,142,200,200
25_1D,1825,122,124,179,207,246,246,107,127,169,185,235,239,98,100,138,138,200,200
26_2D,1826,124,124,179,195,248,248,107,107,185,189,235,239,98,102,148,152,200,200
27_3D,1827,124,124,179,195,248,248,107,107,185,185,235,235,102,102,148,148,200,200
28_4D,1828,124,124,179,195,248,248,107,107,169,185,235,235,102,102,148,148,200,200
29_5D,1829,124,124,179,195,248,248,107,107,169,185,235,235,102,102,148,148,200,200
30_6D,1830,122,126,179,179,246,248,107,107,185,189,239,239,98,100,148,152,200,202
31_7D,1831,124,124,179,195,246,248,107,125,175,185,235,235,100,102,142,152,200,202
32_8D,1832,124,124,179,179,246,246,109,145,189,189,235,239,98,102,124,148,200,200
33_1E,1833,124,126,179,195,248,248,107,125,175,185,235,239,100,100,142,148,200,202
34_2E,1834,124,124,179,179,246,248,107,107,169,175,235,235,102,102,142,148,200,200
35_3E,1835,124,132,179,207,248,248,107,107,161,175,235,235,98,98,140,142,200,200
36_4E,1836,114,124,179,179,246,248,107,107,175,175,235,235,98,102,142,142,200,202
01_6E,1838,124,132,193,207,246,246,109,113,169,175,235,235,98,100,138,152,200,202
02_5E,1837,124,124,179,179,246,248,107,127,175,185,235,235,102,102,148,152,200,200
03_7E,1839,124,124,179,207,246,248,107,121,169,185,235,235,102,106,148,150,200,200
04_8e,1841,124,124,179,179,246,248,107,107,169,169,235,235,98,102,148,150,196,202
05_1f,1842,114,124,177,177,246,248,107,107,175,175,235,235,98,98,142,152,202,202
06_2f,1843,124,124,179,179,246,248,107,119,185,185,235,239,102,102,138,148,200,200
07_3f,1844,122,124,179,195,246,248,107,107,185,185,235,235,98,100,142,148,196,202
08_4f,1845,126,126,187,195,248,248,123,125,185,185,235,239,100,100,142,142,200,200
09_5f,1846,124,124,179,179,246,246,105,107,185,185,235,235,98,102,148,152,196,200
10_6f,1847,126,126,187,195,248,248,107,125,185,185,239,239,100,100,142,142,202,202
11_7f,1848,124,126,187,187,248,248,107,125,185,185,235,239,100,100,140,142,200,200
12_8f,1849,124,124,191,191,246,246,107,127,175,175,235,235,102,102,152,152,200,200
13_1g,1850,124,126,187,195,248,248,107,107,185,185,239,239,100,100,142,142,200,200
14_2g,1921,124,124,195,195,248,248,107,107,169,185,235,235,102,102,148,148,200,200
15_3g,1922,122,130,195,195,248,248,107,109,185,185,235,239,98,100,142,148,200,200
16_4g,1923,122,126,195,205,248,248,107,115,185,185,235,239,98,100,138,152,196,200
17_5g,1924,124,124,179,195,246,246,107,145,169,185,235,239,98,102,148,152,196,200
18_6g,1925,114,124,177,179,248,248,107,107,175,185,235,235,98,102,142,152,200,202
19_7g,1926,124,124,179,191,246,246,107,107,175,185,235,235,98,102,148,152,200,200
20_8g,1927,124,124,179,179,246,248,105,107,185,185,235,239,98,98,148,148,196,200
21_1h,1928,122,124,179,195,248,248,125,145,185,185,235,235,98,100,142,148,200,202
22_2h,1929,124,124,179,191,246,246,107,127,169,175,235,235,102,102,148,152,200,200
23_3h,1930,124,124,179,191,246,248,107,127,169,185,235,235,100,102,140,148,200,200
24_4h,1931,124,124,179,179,248,248,107,107,185,185,235,235,102,102,148,148,200,200
25_5h,1932,124,124,179,195,248,248,107,107,169,189,235,235,98,102,148,152,200,200
26_6h,1933,124,124,177,179,246,246,107,107,175,175,235,235,98,98,142,152,202,202
27_7h,1934,124,124,179,195,248,248,107,107,185,185,235,235,102,102,148,148,200,200
28_8h,1935,124,132,187,195,246,248,105,109,155,169,235,239,98,102,142,148,200,202
29_1i,1936,124,124,187,187,248,248,107,107,185,185,235,235,100,100,140,142,202,202
30_2i,1937,124,124,179,179,248,248,107,109,171,189,235,239,98,100,124,140,200,200
31_3i,1938,124,126,179,195,248,248,107,125,185,185,235,239,100,102,142,142,200,202
32_4i,1939,124,124,179,195,248,248,107,107,185,185,235,235,100,102,148,148,200,200
33_5i,1940,124,124,179,191,246,248,107,127,175,185,235,235,100,102,148,152,200,200
34_6i,1941,124,124,179,179,248,248,107,107,185,185,235,235,102,102,148,148,200,200
35_7i,NM1,122,124,191,191,246,248,127,127,175,187,239,239,98,98,138,152,200,200
