POB	ÁRBOL	NEWX	NEWY	UCSP	UCHGT	UCCOVA	UCCOVR	OCSP	OCHGT	OCCOVA	OCCOVR	D1	D2	NTREE	DROCK	DFOREST	Fm001	FmMg3	Fm018	Tet403	TetE02	TetMC5	Hex406	Hex402	Hex05	TetMC4	HexH03
NC	1841	163.31900	292.20300	3	0.3	15.0	62.5	6	0.5	41.3	77.5	26.5	32.0	0	0.0	60.0	119	178	244	104	167	231	93	142	194	221	257
NC	1842	170.25000	314.51000	2	1.0	72.5	100.0	7	0.5	11.3	95.0	12.7	22.5	1	0.0	0.0	109	176	244	104	173	231	93	136	200	221	261
NC	1843	185.47600	324.17200	2	0.2	12.5	61.3	7	0.6	19.3	85.0	12.7	25.0	1	0.0	0.0	119	178	244	104	183	231	97	132	198	221	257
NC	1844	225.28100	401.39600	2	0.6	26.3	75.0	5	1.3	26.3	80.0	3.0	4.9	6	2.5	0.0	117	178	244	104	145	231	93	136	194	222	283
NC	1845	226.24900	405.27700	2	1.2	75.0	85.0	5	1.2	35.0	77.5	3.0	7.9	5	0.5	0.0	121	186	246	122	183	231	95	136	198	221	283
NC	1846	249.64900	444.19200	1	0.2	1.8	0.0	3	1.4	30.0	1.3	1.5	3.7	4	9.0	35.0	119	178	244	102	145	231	93	142	194	221	287
NC	1847	253.62900	447.34400	3	0.4	25.5	0.0	3	1.4	30.0	1.3	1.5	3.7	4	5.0	35.0	121	186	246	104	183	235	95	136	200	222	283
NC	1848	255.56100	471.00000	2	1.1	27.5	3.8	5	2.4	60.0	17.5	1.0	4.5	7	7.0	7.0	119	186	246	104	183	231	95	134	198	222	283
NC	1849	255.09800	469.57300	2	0.7	27.5	3.8	5	2.4	60.0	17.5	1.0	6.0	7	5.5	7.0	119	190	244	104	173	231	97	146	198	221	271
NC	1850	262.18400	480.59400	3	1.6	50.0	0.0	5	3.0	42.5	1.3	1.0	27.0	9	14.0	17.0	119	186	246	104	183	235	95	136	198	221	283
NC	1921	187.40000	300.00000	1	0.3	26.3	1.3	2	0.4	18.8	13.8	31.0	33.0	0	12.0	60.0	119	194	246	104	167	231	97	142	198	221	283
NC	1922	208.99500	356.79200	3	1.7	82.5	83.8	6	0.6	42.5	60.0	4.5	10.2	2	2.0	80.0	117	194	246	104	145	231	93	136	198	222	259
NC	1923	211.06100	362.73200	3	1.1	60.0	65.0	7	1.4	47.5	62.5	3.3	4.5	2	3.0	80.0	117	194	246	104	183	231	93	132	194	222	251
NC	1924	228.12100	386.54600	4	0.3	6.3	0.0	9	0.3	12.5	35.0	6.1	8.3	6	9.0	85.0	119	178	244	104	167	231	93	142	194	222	283
NC	1925	229.20200	389.87500	2	0.5	36.3	0.0	5	1.1	17.5	5.0	35.0	8.3	7	4.0	85.0	109	176	246	104	173	231	93	136	198	221	261
