MICROHAB	POINT	NAME	TREE	NEWX	NEWY
PRUNUS	110	Prunus_1123	1123	212.6340	525.0343
PRUNUS	111	Prunus_1124	1124	230.3934	534.4763
PRUNUS	112	Prunus_1125	1125	228.7545	500.1428
PRUNUS	113	Prunus_1126	1126	228.7545	499.6891
PRUNUS	114	Prunus_1127	1127	228.8493	498.7873
PRUNUS	115	Prunus_1128	1128	223.8940	500.9095
PRUNUS	116	Prunus_1129	1129	232.8568	516.9486
PRUNUS	117	Prunus_1130	1130	229.9456	509.8933
PRUNUS	118	Prunus_1131	1131	229.9456	509.8933
PRUNUS	119	Prunus_1132	1132	234.3790	509.8779
PRUNUS	120	Prunus_1133	1133	221.2885	504.1846
PRUNUS	121	Prunus_1134	1134	130.1773	303.5006
PRUNUS	122	Prunus_1135	1135	137.3509	288.7753
PRUNUS	123	Prunus_1136	1136	128.2362	310.7450
PRUNUS	124	Prunus_1137	1137	121.8672	325.7493
PRUNUS	125	Prunus_1138	1138	114.7373	326.7513
PRUNUS	126	Prunus_1139	1139	174.3024	309.8698
PRUNUS	127	Prunus_1140	1140	174.3024	309.8698
PRUNUS	128	Prunus_1141	1141	185.7503	309.3557
PRUNUS	129	Prunus_1142	1142	188.4974	307.0365
PRUNUS	130	Prunus_1143	1143	188.4974	307.0365
PRUNUS	131	Prunus_1144	1144	192.3928	313.5210
PRUNUS	132	Prunus_1145	1145	193.7000	311.5082
PRUNUS	133	Prunus_1146	1146	194.2228	319.1221
PRUNUS	134	Prunus_1147	1147	197.4303	323.1262
PRUNUS	135	Prunus_1148	1148	195.7363	331.0194
PRUNUS	136	Prunus_1149	1149	196.2175	333.5842
PRUNUS	137	Prunus_1150	1150	196.9932	342.4503
PRUNUS	138	Prunus_1151	1151	201.8710	339.2341
PRUNUS	139	Prunus_1152	1152	209.2706	383.0647
PRUNUS	140	Prunus_1153	1153	199.5503	376.7666
PRUNUS	141	Prunus_1154	1154	197.2550	374.9817
PRUNUS	142	Prunus_1155	1155	194.4311	377.5244
PRUNUS	143	Prunus_1156	1156	191.3911	373.1829
PRUNUS	144	Prunus_1157	1157	189.8208	370.1464
PRUNUS	145	Prunus_1158	1158	181.7913	366.9184
PRUNUS	146	Prunus_1159	1159	179.4166	364.9258
PRUNUS	147	Prunus_1160	1160	176.9831	365.3072
PRUNUS	148	Prunus_1161	1161	170.2326	366.2405
PRUNUS	149	Prunus_1162	1162	188.7527	377.0276
PRUNUS	150	Prunus_1163	1163	184.3959	369.1039
PRUNUS	151	Prunus_1164	1164	217.9783	383.8285
PRUNUS	152	Prunus_1165	1165	206.0843	399.1107
PRUNUS	153	Prunus_1166	1166	228.2178	420.9099
PRUNUS	154	Prunus_1167	1167	226.6239	421.0494
PRUNUS	155	Prunus_1168	1168	236.9735	451.7692
PRUNUS	156	Prunus_1169	1169	229.2336	475.2952
PRUNUS	157	Prunus_1170	1170	222.9287	477.8426
PRUNUS	158	Prunus_1171	1171	220.4712	476.1218
PRUNUS	159	Prunus_1172	1172	218.6691	474.8600
PRUNUS	160	Prunus_1173	1173	225.0929	461.0841
PRUNUS	161	Prunus_1174	1174	226.7682	465.2078
PRUNUS	162	Prunus_1175	1175	220.8487	471.7472
PRUNUS	163	Prunus_1176	1176	217.5601	465.8278
PRUNUS	164	Prunus_1177	1177	205.7473	465.8920
PRUNUS	165	Prunus_1178	1178	211.2973	475.5049
PRUNUS	166	Prunus_1179	1179	195.1876	464.9682
PRUNUS	167	Prunus_1180	1180	193.2473	465.8920
PRUNUS	168	Prunus_1181	1181	189.1749	471.7080
PRUNUS	169	Prunus_1182	1182	188.6013	472.5272
PRUNUS	170	Prunus_1183	1183	188.0277	473.3463
PRUNUS	171	Prunus_1184	1184	188.3145	472.9367
PRUNUS	172	Prunus_1185	1185	191.5973	463.0342
PRUNUS	173	Prunus_1186	1186	209.4517	538.5554
PRUNUS	174	Prunus_1187	1187	213.6410	528.9026
PRUNUS	175	Prunus_1188	1188	219.1720	517.7103
PRUNUS	176	Prunus_1189	1189	212.0960	519.7403
PRUNUS	177	Prunus_1190	1190	217.1793	515.3356
PRUNUS	178	Prunus_1191	1191	178.8108	480.0983
PRUNUS	179	Prunus_1192	1192	169.3385	476.9702
PRUNUS	180	Prunus_1193	1193	170.0223	442.9152
PRUNUS	181	Prunus_1194	1194	159.3480	536.2402
PRUNUS	182	Prunus_1195	1195	140.9292	534.3660
PRUNUS	183	Prunus_1196	1196	136.1161	526.2527
PRUNUS	184	Prunus_1197	1197	197.4814	548.7527
PRUNUS	185	Prunus_1198	1198	233.4775	591.6512
PRUNUS	186	Prunus_1199	1199	225.4426	601.2268
PRUNUS	187	Prunus_1200	1200	222.5682	514.6063
PRUNUS	188	Prunus_1820	1820	206.3757	208.8226
PRUNUS	189	Prunus_1821	1821	187.8780	213.7477
PRUNUS	190	Prunus_1822	1822	307.6347	263.9859
PRUNUS	191	Prunus_1823	1823	142.7458	142.6955
PRUNUS	192	Prunus_1824	1824	131.6682	146.5244
PRUNUS	193	Prunus_1825	1825	244.8388	176.8063
PRUNUS	194	Prunus_1826	1826	269.9708	252.8041
PRUNUS	195	Prunus_1827	1827	281.6928	271.8709
PRUNUS	196	Prunus_1828	1828	295.2693	295.0071
PRUNUS	197	Prunus_1829	1829	286.7471	296.9707
PRUNUS	198	Prunus_1830	1830	304.2219	378.5369
PRUNUS	199	Prunus_1831	1831	309.2749	376.5151
PRUNUS	200	Prunus_1832	1832	305.0418	382.0677
PRUNUS	201	Prunus_1833	1833	311.4825	380.9968
PRUNUS	202	Prunus_1834	1834	330.2418	387.8492
PRUNUS	203	Prunus_1835	1835	346.2627	427.1442
PRUNUS	204	Prunus_1836	1836	347.6629	432.9563
PRUNUS	205	Prunus_1837	1837	330.5840	461.2578
PRUNUS	206	Prunus_1838	1838	349.4502	471.9228
PRUNUS	207	Prunus_1839	1839	333.6047	464.9881
PRUNUS	208	Prunus_1841	1841	163.3195	292.2033
PRUNUS	209	Prunus_1842	1842	170.2499	314.5101
PRUNUS	210	Prunus_1843	1843	185.4759	324.1721
PRUNUS	211	Prunus_1844	1844	225.2808	401.3959
PRUNUS	212	Prunus_1845	1845	226.2485	405.2771
PRUNUS	213	Prunus_1846	1846	249.6491	444.1916
PRUNUS	214	Prunus_1847	1847	253.6288	447.3438
PRUNUS	215	Prunus_1848	1848	255.5613	471.0000
PRUNUS	216	Prunus_1849	1849	255.0977	469.5734
PRUNUS	217	Prunus_1850	1850	262.1835	480.5940
PRUNUS	218	Prunus_1851	1851	391.3068	520.0733
PRUNUS	219	Prunus_1921	1921	187.4000	300.0000
PRUNUS	220	Prunus_1922	1922	208.9950	356.7921
PRUNUS	221	Prunus_1923	1923	211.0614	362.7323
PRUNUS	222	Prunus_1924	1924	228.1205	386.5461
PRUNUS	223	Prunus_1925	1925	229.2021	389.8748
PRUNUS	224	Prunus_1926	1926	230.1524	412.5304
PRUNUS	225	Prunus_1927	1927	247.0015	444.6557
PRUNUS	226	Prunus_1928	1928	248.5157	449.3159
PRUNUS	227	Prunus_1929	1929	262.9323	482.7687
PRUNUS	228	Prunus_1930	1930	250.5859	502.8888
PRUNUS	229	Prunus_1931	1931	237.8014	243.9571
PRUNUS	230	Prunus_1932	1932	239.7609	233.8267
PRUNUS	231	Prunus_1933	1933	246.2587	236.3304
PRUNUS	232	Prunus_1934	1934	248.2550	225.6938
PRUNUS	233	Prunus_1935	1935	263.8115	246.4558
PRUNUS	234	Prunus_1936	1936	322.7296	468.9227
PRUNUS	235	Prunus_1937	1937	311.7380	453.7941
