n	state	seedling	eppendorf	site	microhabitat	ref	xref	yref	distance	angle	anglerad	x	y
200	SDL	SDL200	SDL219	IN	N	N16	59,8842856	432,7933696	0	0	0	59,8842856	432,7933696
201	SDL	SDL201	SDL220	IN	N	N16	59,8842856	432,7933696	0	0	0	59,8842856	432,7933696
202	SDL	SDL202	SDL221	IN	N	N16	59,8842856	432,7933696	0	0	0	59,8842856	432,7933696
203	SDL	SDL203	SDL222	IN	N	N48	168,4977863	448,8256311	0	0	0	168,4977863	448,8256311
204	SDL	SDL204	SDL223	IN	N	N48	168,4977863	448,8256311	0	0	0	168,4977863	448,8256311
205	SDL	SDL205	SDL224	IN	N	N48	168,4977863	448,8256311	0	0	0	168,4977863	448,8256311
206	SDL	SDL206	SDL225	IN	N	N48	168,4977863	448,8256311	0	0	0	168,4977863	448,8256311
207	SDL	SDL207	SDL226	IN	R	N20	116,2448649	413,3741799	6,8	190	3,316125579	115,0640573	406,6774871
208	SDL	SDL208	SDL227	IN	R	385	212,1	477,5	4,2	220	3,839724354	209,400292	474,2826133
209	SDL	SDL209	SDL228	IN	R	385	212,1	477,5	4,2	220	3,839724354	209,400292	474,2826133
210	SDL	SDL210	SDL229	IN	R	385	212,1	477,5	4,2	220	3,839724354	209,400292	474,2826133
211	SDL	SDL211	SDL230	IN	R	385	212,1	477,5	4,2	220	3,839724354	209,400292	474,2826133
212	SDL	SDL212	SDL231	IN	R	1184	188,315	472,937	5,1	40	0,698131701	191,5932168	476,8438267
213	SDL	SDL213	SDL232	IN	R	1184	188,315	472,937	5,1	40	0,698131701	191,5932168	476,8438267
214	SDL	SDL214	SDL233	IN	R	1184	188,315	472,937	5,1	40	0,698131701	191,5932168	476,8438267
215	SDL	SDL215	SDL234	IN	R	1184	188,315	472,937	5,1	40	0,698131701	191,5932168	476,8438267
216	SDL	SDL216	SDL235	IN	R	1184	188,315	472,937	5,1	40	0,698131701	191,5932168	476,8438267
217	SDL	SDL217	SDL236	IN	R	1184	188,315	472,937	5,1	40	0,698131701	191,5932168	476,8438267
