orden	loc	area	mhab1	mhab2	point	name	ox	oy	x	y	species	code	year	n	densm2
56873	IN	NEW	A	A	71	I0071	24,17	346,32	224,17	646,32	Cmon	seed	1997-98	0	0,00
56874	IN	NEW	A	A	72	I0072	-4,14	288,12	195,86	588,12	Cmon	seed	1997-98	0	0,00
56875	IN	NEW	A	A	73	I0073	56,88	212,38	256,88	512,38	Pmah	seed	1997-98	57	343,37
56876	IN	NEW	A	A	74	I0074	65,82	202,81	265,82	502,81	Pmah	seed	1997-98	49	295,18
56877	IN	NEW	A	A	75	I0075	74,83	389,47	274,83	689,47	Jpho	seed	1997-98	0	0,00
56878	IN	NEW	A	A	76	I0076	79,74	386,03	279,74	686,03	Jpho	seed	1997-98	0	0,00
56879	IN	NEW	A	A	77	I0077	76,96	382,35	276,96	682,35	Jpho	seed	1997-98	0	0,00
56880	IN	NEW	A	A	78	I0078	93,66	254,79	293,66	554,79	Jpho	seed	1997-98	2	12,05
56881	IN	NEW	A	A	54b	I0054b	18,39	281,15	218,39	581,15	Rspp	seed	1997-98	0	0,00
56882	IN	NEW	B	B	41	INB41	36,26	285,24	236,26	585,24	Jcom	seed	1997-98	0	0,00
56883	IN	NEW	B	B	42	INB42	28,37	287,65	228,37	587,65	Jcom	seed	1997-98	0	0,00
56884	IN	NEW	B	B	43	INB43	25,32	296,01	225,32	596,01	Bvul	seed	1997-98	0	0,00
56885	IN	NEW	B	B	44	INB44	18,67	305,51	218,67	605,51	Bvul	seed	1997-98	0	0,00
56886	IN	NEW	B	B	45	INB45	28,06	308,5	228,06	608,50	Bvul	seed	1997-98	0	0,00
56887	IN	NEW	B	B	46	INB46	24,99	311,07	224,99	611,07	Jcom	seed	1997-98	0	0,00
56888	IN	NEW	B	B	47	INB47	38,18	331,89	238,18	631,89	Jcom	seed	1997-98	0	0,00
56889	IN	NEW	B	B	48	INB48	43,88	331,09	243,88	631,09	Bvul	seed	1997-98	0	0,00
56890	IN	NEW	B	B	49	INB49	52,54	349,67	252,54	649,67	Jcom	seed	1997-98	0	0,00
56891	IN	NEW	B	B	50	INB50	40,78	363,25	240,78	663,25	Bvul	seed	1997-98	0	0,00
56892	IN	NEW	B	B	51	INB51	51,58	371,55	251,58	671,55	Jcom	seed	1997-98	0	0,00
56893	IN	NEW	B	B	52	INB52	51,44	374,95	251,44	674,95	Bvul	seed	1997-98	0	0,00
56894	IN	NEW	B	B	53	INB53	54,91	384,49	254,91	684,49	Bvul	seed	1997-98	0	0,00
56895	IN	NEW	B	B	54	INB54	43,99	399,41	243,99	699,41	Bvul	seed	1997-98	0	0,00
56896	IN	NEW	B	B	55	INB55	53,19	403,7	253,19	703,70	Jcom	seed	1997-98	0	0,00
56897	IN	NEW	B	B	56	INB56	49,79	409,59	249,79	709,59	Bvul	seed	1997-98	0	0,00
56898	IN	NEW	B	B	57	INB57	56,96	417,8	256,96	717,80	Jcom	seed	1997-98	0	0,00
56899	IN	NEW	B	B	58	INB58	66,69	423,15	266,69	723,15	Jcom	seed	1997-98	0	0,00
56900	IN	NEW	B	B	59	INB59	66,35	432,1	266,35	732,10	Bvul	seed	1997-98	0	0,00
56901	IN	NEW	B	B	60	INB60	66,06	443,03	266,06	743,03	Bvul	seed	1997-98	0	0,00
56902	IN	NEW	B	B	61	INB61	76,22	437,48	276,22	737,48	Bvul	seed	1997-98	0	0,00
56903	IN	NEW	B	B	62	INB62	83,15	432,65	283,15	732,65	Bvul	seed	1997-98	0	0,00
56904	IN	NEW	B	B	63	INB63	85,38	432,47	285,38	732,47	Jcom	seed	1997-98	0	0,00
56905	IN	NEW	B	B	64	INB64	88,28	427,38	288,28	727,38	Bvul	seed	1997-98	0	0,00
56906	IN	NEW	B	B	65	INB65	87,56	419,12	287,56	719,12	Jcom	seed	1997-98	0	0,00
56907	IN	NEW	B	B	66	INB66	96,32	420,66	296,32	720,66	Jcom	seed	1997-98	0	0,00
56908	IN	NEW	B	B	67	INB67	100,99	415,99	300,99	715,99	Bvul	seed	1997-98	0	0,00
56909	IN	NEW	B	B	68	INB68	97,35	408,91	297,35	708,91	Jcom	seed	1997-98	0	0,00
56910	IN	NEW	B	B	69	INB69	105,87	410,17	305,87	710,17	Jcom	seed	1997-98	0	0,00
56911	IN	NEW	B	B	70	INB70	112,54	411,96	312,54	711,96	Jcom	seed	1997-98	0	0,00
56912	IN	NEW	B	B	71	INB71	47,48	324,86	247,48	624,86	Rsax	seed	1997-98	0	0,00
56913	IN	NEW	B	B	72	INB72	59,24	312,78	259,24	612,78	Rsax	seed	1997-98	0	0,00
56914	IN	NEW	B	B	73	INB73	59,76	300,58	259,76	600,58	Rsax	seed	1997-98	0	0,00
56915	IN	NEW	P	P	1	INP1	50,83	219,03	250,83	519,03	Pnig	seed	1997-98	1	6,02
56916	IN	NEW	P	P	2	INP2	51,14	228,53	251,14	528,53	Pnig	seed	1997-98	2	12,05
56917	IN	NEW	P	P	3	INP3	52,05	245,21	252,05	545,21	Pnig	seed	1997-98	2	12,05
56918	IN	NEW	P	P	4	INP4	45,68	268,97	245,68	568,97	Pnig	seed	1997-98	0	0,00
56919	IN	NEW	P	P	5	INP5	34,9	269,7	234,90	569,70	Pnig	seed	1997-98	0	0,00
56920	IN	NEW	P	P	6	INP6	37,77	280,42	237,77	580,42	Pnig	seed	1997-98	0	0,00
56921	IN	NEW	P	P	7	INP7	27,2	283,04	227,20	583,04	Pnig	seed	1997-98	0	0,00
56922	IN	NEW	P	P	8	INP8	14,76	302,11	214,76	602,11	Pnig	seed	1997-98	0	0,00
56923	IN	NEW	P	P	9	INP9	-3,42	311,26	196,58	611,26	Pnig	seed	1997-98	0	0,00
56924	IN	NEW	P	P	10	INP10	2,03	317,98	202,03	617,98	Pnig	seed	1997-98	0	0,00
56925	IN	NEW	P	P	11	INP11	26,49	326,43	226,49	626,43	Pnig	seed	1997-98	0	0,00
56926	IN	NEW	P	P	12	INP12	12,73	342,83	212,73	642,83	Pnig	seed	1997-98	0	0,00
56927	IN	NEW	P	P	13	INP13	33,43	363,61	233,43	663,61	Pnig	seed	1997-98	0	0,00
56928	IN	NEW	P	P	14	INP14	62,9	350,11	262,90	650,11	Pnig	seed	1997-98	1	6,02
56929	IN	NEW	P	P	15	INP15	73,5	362,75	273,50	662,75	Pnig	seed	1997-98	0	0,00
56930	IN	NEW	P	P	16	INP16	60,18	393,71	260,18	693,71	Pnig	seed	1997-98	0	0,00
56931	IN	NEW	P	P	17	INP17	60,18	402,71	260,18	702,71	Pnig	seed	1997-98	0	0,00
56932	IN	NEW	P	P	18	INP18	66,23	419,25	266,23	719,25	Pnig	seed	1997-98	0	0,00
56933	IN	NEW	P	P	19	INP19	72,15	426,3	272,15	726,30	Pnig	seed	1997-98	0	0,00
56934	IN	NEW	P	P	20	INP20	75,02	432,46	275,02	732,46	Pnig	seed	1997-98	0	0,00
56935	IN	NEW	P	P	21	INP21	119,22	409	319,22	709,00	Pnig	seed	1997-98	0	0,00
56936	IN	NEW	P	P	22	INP22	116,1	391,28	316,10	691,28	Pnig	seed	1997-98	0	0,00
56937	IN	NEW	P	P	23	INP23	121,52	382,7	321,52	682,70	Pnig	seed	1997-98	0	0,00
56938	IN	NEW	P	P	24	INP24	111,42	388,58	311,42	688,58	Pnig	seed	1997-98	0	0,00
56939	IN	NEW	P	P	25	INP25	80,86	407,51	280,86	707,51	Pnig	seed	1997-98	1	6,02
56940	IN	NEW	P	P	26	INP26	107,55	377,87	307,55	677,87	Pnig	seed	1997-98	0	0,00
56941	IN	NEW	P	P	27	INP27	103,32	366,14	303,32	666,14	Pnig	seed	1997-98	1	6,02
56942	IN	NEW	P	P	28	INP28	110,95	356,09	310,95	656,09	Pnig	seed	1997-98	1	6,02
56943	IN	NEW	P	P	29	INP29	117,51	347,58	317,51	647,58	Pnig	seed	1997-98	0	0,00
56944	IN	NEW	P	P	30	INP30	106,7	346,41	306,70	646,41	Pnig	seed	1997-98	0	0,00
56945	IN	NEW	P	P	31	INP31	107,55	339,22	307,55	639,22	Pnig	seed	1997-98	0	0,00
56946	IN	NEW	P	P	32	INP32	101,53	337,85	301,53	637,85	Pnig	seed	1997-98	0	0,00
56947	IN	NEW	P	P	33	INP33	93,34	341,78	293,34	641,78	Pnig	seed	1997-98	0	0,00
56948	IN	NEW	P	P	34	INP34	90,49	331,16	290,49	631,16	Pnig	seed	1997-98	0	0,00
56949	IN	NEW	P	P	35	INP35	90,49	321,3	290,49	621,30	Pnig	seed	1997-98	0	0,00
56950	IN	NEW	P	P	36	INP36	84,28	307,97	284,28	607,97	Pnig	seed	1997-98	3	18,07
56951	IN	NEW	P	P	37	INP37	76,93	314,14	276,93	614,14	Pnig	seed	1997-98	0	0,00
56952	IN	NEW	P	P	38	INP38	75,68	305,67	275,68	605,67	Pnig	seed	1997-98	0	0,00
56953	IN	NEW	P	P	39	INP39	87,88	294,55	287,88	594,55	Pnig	seed	1997-98	0	0,00
56954	IN	NEW	P	P	40	INP40	100,8	312,4	300,80	612,40	Pnig	seed	1997-98	1	6,02
56955	IN	NEW	R	R	46	INR46	91,68	213,66	291,68	513,66	00DA	seed	1997-98	2	12,05
56956	IN	NEW	R	R	47	INR47	90,1	215,55	290,10	515,55	00DA	seed	1997-98	0	0,00
56957	IN	NEW	R	R	48	INR48	91,06	214,7	291,06	514,70	00DA	seed	1997-98	1	6,02
56958	IN	NEW	R	R	49	INR49	96,91	217,53	296,91	517,53	00DA	seed	1997-98	0	0,00
56959	IN	NEW	R	R	50	INR50	95,42	214,23	295,42	514,23	00DA	seed	1997-98	1	6,02
56960	IN	NEW	R	R	51	INR51	79,86	219,66	279,86	519,66	00DA	seed	1997-98	2	12,05
56961	IN	NEW	R	R	52	INR52	81,61	219,8	281,61	519,80	00DA	seed	1997-98	0	0,00
56962	IN	NEW	R	R	53	INR53	78,91	222,72	278,91	522,72	00DA	seed	1997-98	1	6,02
56963	IN	NEW	R	R	54	INR54	77,01	223,66	277,01	523,66	00DA	seed	1997-98	1	6,02
56964	IN	NEW	R	R	55	INR55	80,34	224,77	280,34	524,77	00DA	seed	1997-98	0	0,00
56965	IN	NEW	R	R	56	INR56	81,18	224,51	281,18	524,51	00DA	seed	1997-98	0	0,00
56966	IN	NEW	R	R	57	INR57	82,72	226,11	282,72	526,11	00DA	seed	1997-98	1	6,02
56967	IN	NEW	R	R	58	INR58	81,92	226,84	281,92	526,84	00DA	seed	1997-98	0	0,00
56968	IN	NEW	R	R	59	INR59	80,94	227,81	280,94	527,81	00DA	seed	1997-98	1	6,02
56969	IN	NEW	R	R	60	INR60	83,21	228,87	283,21	528,87	00DA	seed	1997-98	3	18,07
56970	IN	NEW	R	R	61	INR61	84,03	226,61	284,03	526,61	00DA	seed	1997-98	2	12,05
56971	IN	NEW	R	R	62	INR62	90,1	225,65	290,10	525,65	00DA	seed	1997-98	1	6,02
56972	IN	NEW	R	R	63	INR63	91,01	228,87	291,01	528,87	00DA	seed	1997-98	0	0,00
56973	IN	NEW	R	R	64	INR64	87,39	235	287,39	535,00	00DA	seed	1997-98	0	0,00
56974	IN	NEW	R	R	65	INR65	83,1	237,49	283,10	537,49	00DA	seed	1997-98	1	6,02
56975	IN	NEW	R	R	66	INR66	80,34	245,63	280,34	545,63	00DA	seed	1997-98	0	0,00
56976	IN	NEW	R	R	67	INR67	87,34	249,14	287,34	549,14	00DA	seed	1997-98	0	0,00
56977	IN	NEW	R	R	68	INR68	99,01	257,29	299,01	557,29	00DA	seed	1997-98	0	0,00
56978	IN	NEW	R	R	69	INR69	95,37	259,49	295,37	559,49	00DA	seed	1997-98	0	0,00
56979	IN	NEW	R	R	70	INR70	92,27	262,67	292,27	562,67	00DA	seed	1997-98	0	0,00
56980	IN	NEW	R	R	71	INR71	79,3	362,75	279,30	662,75	00DA	seed	1997-98	0	0,00
56981	IN	NEW	R	R	72	INR72	83,54	371,17	283,54	671,17	00DA	seed	1997-98	0	0,00
56982	IN	NEW	R	R	73	INR73	89,32	371,23	289,32	671,23	00DA	seed	1997-98	0	0,00
56983	IN	NEW	R	R	74	INR74	93,26	374,04	293,26	674,04	00DA	seed	1997-98	0	0,00
56984	IN	NEW	R	R	75	INR75	95,34	370,82	295,34	670,82	00DA	seed	1997-98	0	0,00
56985	IN	NEW	R	R	76	INR76	91,24	381,33	291,24	681,33	00DA	seed	1997-98	0	0,00
56986	IN	NEW	R	R	77	INR77	95,04	383,1	295,04	683,10	00DA	seed	1997-98	0	0,00
56987	IN	NEW	R	R	78	INR78	98,43	384,85	298,43	684,85	00DA	seed	1997-98	0	0,00
56988	IN	NEW	R	R	79	INR79	101,99	387,5	301,99	687,50	00DA	seed	1997-98	0	0,00
56989	IN	NEW	R	R	80	INR80	107,91	395,52	307,91	695,52	00DA	seed	1997-98	0	0,00
56990	IN	NEW	S	S	41	INS41	41,71	277,82	241,71	577,82	00DA	seed	1997-98	0	0,00
56991	IN	NEW	S	S	42	INS42	36,17	264,13	236,17	564,13	00DA	seed	1997-98	0	0,00
56992	IN	NEW	S	S	43	INS43	37,48	259,77	237,48	559,77	00DA	seed	1997-98	0	0,00
56993	IN	NEW	S	S	44	INS44	41,55	254,01	241,55	554,01	00DA	seed	1997-98	0	0,00
56994	IN	NEW	S	S	45	INS45	43,44	249,22	243,44	549,22	00DA	seed	1997-98	0	0,00
56995	IN	NEW	S	S	46	INS46	45,09	243,34	245,09	543,34	00DA	seed	1997-98	0	0,00
56996	IN	NEW	S	S	47	INS47	47,74	240,08	247,74	540,08	00DA	seed	1997-98	0	0,00
56997	IN	NEW	S	S	48	INS48	50,82	238,22	250,82	538,22	00DA	seed	1997-98	0	0,00
56998	IN	NEW	S	S	49	INS49	52,84	236,14	252,84	536,14	00DA	seed	1997-98	0	0,00
56999	IN	NEW	S	S	50	INS50	46,55	235,68	246,55	535,68	00DA	seed	1997-98	0	0,00
57000	IN	NEW	S	S	51	INS51	30,14	279,63	230,14	579,63	00DA	seed	1997-98	0	0,00
57001	IN	NEW	S	S	52	INS52	36,26	296,04	236,26	596,04	00DA	seed	1997-98	0	0,00
57002	IN	NEW	S	S	53	INS53	43,38	311,8	243,38	611,80	00DA	seed	1997-98	0	0,00
57003	IN	NEW	S	S	54	INS54	45,87	326,21	245,87	626,21	00DA	seed	1997-98	0	0,00
57004	IN	NEW	S	S	55	INS55	77,1	356,52	277,10	656,52	00DA	seed	1997-98	0	0,00
57005	IN	NEW	S	S	56	INS56	69,8	348,94	269,80	648,94	00DA	seed	1997-98	0	0,00
57006	IN	NEW	S	S	57	INS57	49,08	303,95	249,08	603,95	00DA	seed	1997-98	0	0,00
57007	IN	NEW	S	S	58	INS58	43,29	286,76	243,29	586,76	00DA	seed	1997-98	0	0,00
57008	IN	NEW	S	S	59	INS59	46,06	279,07	246,06	579,07	00DA	seed	1997-98	0	0,00
57009	IN	NEW	S	S	60	INS60	54,59	321,54	254,59	621,54	00DA	seed	1997-98	0	0,00
57010	IN	NEW	S	S	61	INS61	52,14	245,63	252,14	545,63	00DA	seed	1997-98	0	0,00
57011	IN	NEW	S	S	62	INS62	57,11	244,62	257,11	544,62	00DA	seed	1997-98	0	0,00
57012	IN	NEW	S	S	63	INS63	58,33	248,53	258,33	548,53	00DA	seed	1997-98	0	0,00
57013	IN	NEW	S	S	64	INS64	64,1	247,05	264,10	547,05	00DA	seed	1997-98	0	0,00
57014	IN	NEW	S	S	65	INS65	68,13	247,79	268,13	547,79	00DA	seed	1997-98	0	0,00
57015	IN	NEW	S	S	66	INS66	70,1	250,41	270,10	550,41	00DA	seed	1997-98	0	0,00
57016	IN	NEW	S	S	67	INS67	74,28	249,13	274,28	549,13	00DA	seed	1997-98	0	0,00
57017	IN	NEW	S	S	68	INS68	75,89	253,34	275,89	553,34	00DA	seed	1997-98	0	0,00
57018	IN	NEW	S	S	69	INS69	79,55	254,7	279,55	554,70	00DA	seed	1997-98	0	0,00
57019	IN	NEW	S	S	70	INS70	75,83	262,44	275,83	562,44	00DA	seed	1997-98	0	0,00
57020	IN	NEW	S	S	71	INS71	87,14	264,33	287,14	564,33	00DA	seed	1997-98	0	0,00
57021	IN	NEW	S	S	72	INS72	90,05	272,32	290,05	572,32	00DA	seed	1997-98	0	0,00
57022	IN	NEW	S	S	73	INS73	91,56	276,46	291,56	576,46	00DA	seed	1997-98	0	0,00
57023	IN	NEW	S	S	74	INS74	104,77	301,5	304,77	601,50	00DA	seed	1997-98	0	0,00
57024	IN	NEW	S	S	75	INS75	109,14	304,06	309,14	604,06	00DA	seed	1997-98	0	0,00
57025	IN	NEW	S	S	76	INS76	114,84	306,58	314,84	606,58	00DA	seed	1997-98	0	0,00
57026	IN	NEW	S	S	77	INS77	116,5	312,4	316,50	612,40	00DA	seed	1997-98	0	0,00
57027	IN	NEW	S	S	78	INS78	120,32	314,11	320,32	614,11	00DA	seed	1997-98	0	0,00
57028	IN	NEW	S	S	79	INS79	123,21	318,4	323,21	618,40	00DA	seed	1997-98	0	0,00
57029	IN	NEW	S	S	80	INS80	122,82	322,67	322,82	622,67	00DA	seed	1997-98	0	0,00
57030	IN	OLD	A	A	1	I001	12,68	178,07	212,68	478,07	Pmah	seed	1997-98	3	18,07
57031	IN	OLD	A	A	2	I002	-1,15	169,45	198,85	469,45	Pmah	seed	1997-98	4	24,10
57032	IN	OLD	A	A	3	I003	-19,34	166,82	180,66	466,82	Cmon	seed	1997-98	4	24,10
57033	IN	OLD	A	A	4	I004	-21,53	168,46	178,47	468,46	Rspp	seed	1997-98	2	12,05
57034	IN	OLD	A	A	5	I005	-12,48	182,04	187,52	482,04	Pmah	seed	1997-98	12	72,29
57035	IN	OLD	A	A	6	I006	-25	159,23	175,00	459,23	Pmah	seed	1997-98	16	96,39
57036	IN	OLD	A	A	7	I007	-24,32	165,01	175,68	465,01	Rspp	seed	1997-98	5	30,12
57037	IN	OLD	A	A	8	I008	-24,64	161,46	175,36	461,46	Larb	seed	1997-98	1	6,02
57038	IN	OLD	A	A	9	I009	-41,02	172,14	158,98	472,14	Larb	seed	1997-98	0	0,00
57039	IN	OLD	A	A	10	I0010	-51,21	176,11	148,79	476,11	Pmah	seed	1997-98	15	90,36
57040	IN	OLD	A	A	11	I0011	-69,81	170,28	130,19	470,28	Rspp	seed	1997-98	0	0,00
57041	IN	OLD	A	A	12	I0012	-64,98	120,89	135,02	420,89	Larb	seed	1997-98	0	0,00
57042	IN	OLD	A	A	13	I0013	-94,55	128,47	105,45	428,47	Rspp	seed	1997-98	0	0,00
57043	IN	OLD	A	A	14	I0014	-100,3	128,02	99,70	428,02	Larb	seed	1997-98	0	0,00
57044	IN	OLD	A	A	15	I0015	-130,47	115,18	69,53	415,18	Cmon	seed	1997-98	0	0,00
57045	IN	OLD	A	A	16	I0016	-130,41	121,69	69,59	421,69	Larb	seed	1997-98	0	0,00
57046	IN	OLD	A	A	17	I0017	-129,03	128,28	70,97	428,28	Larb	seed	1997-98	0	0,00
57047	IN	OLD	A	A	18	I0018	-141,22	154,09	58,78	454,09	Cmon	seed	1997-98	0	0,00
57048	IN	OLD	A	A	19	I0019	47,21	155,73	247,21	455,73	Rspp	seed	1997-98	3	18,07
57049	IN	OLD	A	A	20	I0020	52,05	155,28	252,05	455,28	Pmah	seed	1997-98	62	373,49
57050	IN	OLD	A	A	21	I0021	59,99	153,22	259,99	453,22	Cmon	seed	1997-98	10	60,24
57051	IN	OLD	A	A	22	I0022	61,41	158,29	261,41	458,29	Cmon	seed	1997-98	7	42,17
57052	IN	OLD	A	A	23	I0023	61,24	148,58	261,24	448,58	Rspp	seed	1997-98	3	18,07
57053	IN	OLD	A	A	24	I0024	54,98	131,39	254,98	431,39	Cmon	seed	1997-98	5	30,12
57054	IN	OLD	A	A	25	I0025	41,88	115,92	241,88	415,92	Larb	seed	1997-98	6	36,14
57055	IN	OLD	A	A	26	I0026	32,81	111,69	232,81	411,69	Cmon	seed	1997-98	9	54,22
57056	IN	OLD	A	A	27	I0027	22,7	121,8	222,70	421,80	Pmah	seed	1997-98	34	204,82
57057	IN	OLD	A	A	28	I0028	40,8	107,14	240,80	407,14	Rspp	seed	1997-98	2	12,05
57058	IN	OLD	A	A	29	I0029	39,38	97,94	239,38	397,94	Cmon	seed	1997-98	36	216,87
57059	IN	OLD	A	A	30	I0030	42,29	95,5	242,29	395,50	Pmah	seed	1997-98	39	234,94
57060	IN	OLD	A	A	31	I0031	28,43	80,42	228,43	380,42	Cmon	seed	1997-98	19	114,46
57061	IN	OLD	A	A	32	I0032	16,28	56,89	216,28	356,89	Larb	seed	1997-98	4	24,10
57062	IN	OLD	A	A	33	I0033	-5,15	15,77	194,85	315,77	Larb	seed	1997-98	1	6,02
57063	IN	OLD	A	A	34	I0034	-59,99	-16,37	140,01	283,63	Cmon	seed	1997-98	1	6,02
57064	IN	OLD	A	A	35	I0035	-64,22	-7,06	135,78	292,94	Cmon	seed	1997-98	3	18,07
57065	IN	OLD	A	A	36	I0036	-64,22	7,64	135,78	307,64	Tbac	seed	1997-98	10	60,24
57066	IN	OLD	A	A	37	I0037	-66,86	17,49	133,14	317,49	Tbac	seed	1997-98	16	96,39
57067	IN	OLD	A	A	38	I0038	-88,16	10,51	111,84	310,51	Tbac	seed	1997-98	5	30,12
57068	IN	OLD	A	A	39	I0039	-71,05	48,78	128,95	348,78	Tbac	seed	1997-98	14	84,34
57069	IN	OLD	A	A	40	I0040	40,35	128,48	240,35	428,48	Tbac	seed	1997-98	36	216,87
57070	IN	OLD	A	A	41	I0041	-56,02	-19,67	143,98	280,33	Cmon	seed	1997-98	0	0,00
57071	IN	OLD	A	A	42	I0042	-62,47	-13,27	137,53	286,73	Cmon	seed	1997-98	3	18,07
57072	IN	OLD	A	A	43	I0043	-59,19	-1,65	140,81	298,35	Jpho	seed	1997-98	0	0,00
57073	IN	OLD	A	A	44	I0044	-71,3	7,02	128,70	307,02	Larb	seed	1997-98	0	0,00
57074	IN	OLD	A	A	45	I0045	-70,31	1,51	129,69	301,51	Rspp	seed	1997-98	0	0,00
57075	IN	OLD	A	A	46	I0046	-67,42	13,18	132,58	313,18	Rspp	seed	1997-98	0	0,00
57076	IN	OLD	A	A	47	I0047	-68,27	14,65	131,73	314,65	Larb	seed	1997-98	0	0,00
57077	IN	OLD	A	A	48	I0048	-74,38	15,73	125,62	315,73	Rspp	seed	1997-98	0	0,00
57078	IN	OLD	A	A	49	I0049	-50,87	20,5	149,13	320,50	Jpho	seed	1997-98	0	0,00
57079	IN	OLD	A	A	50	I0050	14,93	104,48	214,93	404,48	Jpho	seed	1997-98	1	6,02
57080	IN	OLD	A	A	51	I0051	-71,47	-11,77	128,53	288,23	Pmah	seed	1997-98	18	108,43
57081	IN	OLD	A	A	52	I0052	-74,77	-12,02	125,23	287,98	Pmah	seed	1997-98	24	144,58
57082	IN	OLD	A	A	53	I0053	-22,45	20,53	177,55	320,53	Larb	seed	1997-98	2	12,05
57083	IN	OLD	A	A	68	I0068	-42,43	233,21	157,57	533,21	Larb	seed	1997-98	0	0,00
57084	IN	OLD	A	A	69	I0069	-44,03	240,71	155,97	540,71	Larb	seed	1997-98	0	0,00
57085	IN	OLD	A	A	70	I0070	-123,87	183,58	76,13	483,58	Larb	seed	1997-98	0	0,00
57086	IN	OLD	A	A	79	I0079	-60,02	145,26	139,98	445,26	Jpho	seed	1997-98	0	0,00
57087	IN	OLD	A	A	80	I0080	-65,1	70,99	134,90	370,99	Tbac	seed	1997-98	1	6,02
57088	IN	OLD	A	A	54a	I0054a	-19,33	25,42	180,67	325,42	Larb	seed	1997-98	1	6,02
57089	IN	OLD	B	B	1	INB1	77,83	161,18	277,83	461,18	Jcom	seed	1997-98	0	0,00
57090	IN	OLD	B	B	2	INB2	62,12	165,34	262,12	465,34	Jcom	seed	1997-98	1	6,02
57091	IN	OLD	B	B	3	INB3	49,8	179,09	249,80	479,09	Jcom	seed	1997-98	3	18,07
57092	IN	OLD	B	B	4	INB4	9,85	163,87	209,85	463,87	Jcom	seed	1997-98	0	0,00
57093	IN	OLD	B	B	5	INB5	-3,3	175,99	196,70	475,99	Jcom	seed	1997-98	0	0,00
57094	IN	OLD	B	B	6	INB6	-24,93	192,28	175,07	492,28	Jcom	seed	1997-98	0	0,00
57095	IN	OLD	B	B	7	INB7	-63,42	209,06	136,58	509,06	Jcom	seed	1997-98	0	0,00
57096	IN	OLD	B	B	8	INB8	-58,06	169,88	141,94	469,88	Jcom	seed	1997-98	1	6,02
57097	IN	OLD	B	B	9	INB9	-55,85	146,31	144,15	446,31	Jcom	seed	1997-98	0	0,00
57098	IN	OLD	B	B	10	INB10	-88,12	139,7	111,88	439,70	Jcom	seed	1997-98	0	0,00
57099	IN	OLD	B	B	11	INB11	-46,83	154,01	153,17	454,01	Jcom	seed	1997-98	0	0,00
57100	IN	OLD	B	B	12	INB12	-66,09	163,47	133,91	463,47	Jcom	seed	1997-98	0	0,00
57101	IN	OLD	B	B	13	INB13	-76,29	147,82	123,71	447,82	Jcom	seed	1997-98	0	0,00
57102	IN	OLD	B	B	14	INB14	-95,77	124,21	104,23	424,21	Jcom	seed	1997-98	0	0,00
57103	IN	OLD	B	B	15	INB15	-98,06	124,31	101,94	424,31	Jcom	seed	1997-98	0	0,00
57104	IN	OLD	B	B	16	INB16	-3,49	9,58	196,51	309,58	Bvul	seed	1997-98	0	0,00
57105	IN	OLD	B	B	17	INB17	9,13	59,23	209,13	359,23	Bvul	seed	1997-98	1	6,02
57106	IN	OLD	B	B	18	INB18	7,75	59,47	207,75	359,47	Bvul	seed	1997-98	6	36,14
57107	IN	OLD	B	B	19	INB19	64,03	161,85	264,03	461,85	Bvul	seed	1997-98	1	6,02
57108	IN	OLD	B	B	20	INB20	79,75	178,48	279,75	478,48	Bvul	seed	1997-98	0	0,00
57109	IN	OLD	B	B	21	INB21	5,37	175,82	205,37	475,82	Bvul	seed	1997-98	1	6,02
57110	IN	OLD	B	B	22	INB22	-19,74	177,2	180,26	477,20	Bvul	seed	1997-98	1	6,02
57111	IN	OLD	B	B	23	INB23	-22,25	174,77	177,75	474,77	Bvul	seed	1997-98	1	6,02
57112	IN	OLD	B	B	24	INB24	-26,72	170,07	173,28	470,07	Bvul	seed	1997-98	0	0,00
57113	IN	OLD	B	B	25	INB25	-75,62	172,28	124,38	472,28	Bvul	seed	1997-98	0	0,00
57114	IN	OLD	B	B	26	INB26	-66,75	140,34	133,25	440,34	Bvul	seed	1997-98	0	0,00
57115	IN	OLD	B	B	27	INB27	-76,3	133,11	123,70	433,11	Bvul	seed	1997-98	0	0,00
57116	IN	OLD	B	B	28	INB28	-89,1	125,9	110,90	425,90	Bvul	seed	1997-98	0	0,00
57117	IN	OLD	B	B	29	INB29	-125,21	110,54	74,79	410,54	Bvul	seed	1997-98	0	0,00
57118	IN	OLD	B	B	30	INB30	-128,5	132,88	71,50	432,88	Bvul	seed	1997-98	0	0,00
57119	IN	OLD	B	B	31	INB31	-24,62	8,96	175,38	308,96	Rsax	seed	1997-98	0	0,00
57120	IN	OLD	B	B	32	INB32	-13,78	6,42	186,22	306,42	Rsax	seed	1997-98	2	12,05
57121	IN	OLD	B	B	33	INB33	-12,58	14,83	187,42	314,83	Rsax	seed	1997-98	0	0,00
57122	IN	OLD	B	B	34	INB34	-2,12	25,27	197,88	325,27	Rsax	seed	1997-98	0	0,00
57123	IN	OLD	B	B	35	INB35	0,65	28,57	200,65	328,57	Rsax	seed	1997-98	3	18,07
57124	IN	OLD	B	B	36	INB36	1,08	30,82	201,08	330,82	Rsax	seed	1997-98	0	0,00
57125	IN	OLD	B	B	37	INB37	12,11	60,2	212,11	360,20	Rsax	seed	1997-98	0	0,00
57126	IN	OLD	B	B	38	INB38	59,04	137,3	259,04	437,30	Rsax	seed	1997-98	0	0,00
