Prunus mahaleb, 11 loci microsatellites, 10 poplations
Fam001 FamMg3 Fam018 Tet403 TetE02 TetMC4 TetMC5 Hex406 Hex402 HexA05 HexH03                                                           
Pop
NC_1936   ,    119119    186186    246246    104104    183183    221222    231231    095095    134136    200200    283283
NC_1937   ,    119119    178178    246246    104106    169187    221226    231235    093095    118134    198198    271283
NC_1938   ,    119121    178194    246246    104122    183183    221221    231235    095097    136136    198200    271283
NC_1939   ,    119119    178194    246246    104104    183183    221221    231231    095097    142142    198198    257271
NC_1940   ,    119119    178190    244246    104124    173183    221226    231231    095097    142146    198198    283289
NC_1941   ,    119119    178178    246246    104104    183183    221221    231231    097097    142142    198198    257283
NC_871    ,    117119    178194    244244    104104    183183    222222    231231    093097    142148    198198    295295
NC_873    ,    119119    178178    246246    102104    167167    221222    235235    093093    142142    198198    283287
NC_1065   ,    119119    178194    246246    104104    167183    222222    231231    097097    142142    198198    257283
NC_1066   ,    119119    178194    246246    104104    183183    221222    231231    097097    142142    198198    257283
NC_1067   ,    119119    194194    246246    104104    167183    221222    231231    097097    142142    198198    257283
NC_1069   ,    117119    178178    244244    104104    183185    221221    231231    097097    132146    198200    261261
NC_1070   ,    117119    178178    244244    106106    167167    221221    231231    095095    118146    200200    263263
NC_1072   ,    119119    178178    244244    104142    183183    221226    231231    095097    142146    198198    257283
NC_1073   ,    109119    178206    244244    104104    173183    221221    231231    093093    136146    198200    249263
NC_1074   ,    117119    178178    244244    142142    183183    221221    231231    097097    132146    200200    257257
NC_1075   ,    117119    178178    244244    104104    183185    221221    231231    095097    146146    198200    257257
NC_1076   ,    119119    178178    244244    104142    183185    221221    231231    095095    132136    200200    257261
NC_1077   ,    117119    178178    244244    104142    183183    221221    231231    095097    132136    198198    261261
NC_1078   ,    117119    178178    244244    104142    167185    221221    231231    095095    132132    200200    257261
NC_1080   ,    117119    178178    244244    104104    185185    221221    231231    095097    132146    198200    257261
NC_1081   ,    117119    178178    244244    104142    183185    221221    231231    095097    132146    198200    257261
NC_1082   ,    119119    178178    244246    104104    167183    221222    231231    093095    132142    194200    261283
NC_1083   ,    117117    178178    244244    104142    183183    221221    231231    095097    146146    198200    257261
NC_1084   ,    119119    178178    244244    142142    183183    221221    231231    097097    132146    198200    257261
NC_1085   ,    119119    176178    244244    104104    167167    221221    231231    093093    146146    198200    257261
NC_1086   ,    119119    176178    244244    104104    173173    221221    231231    093093    146146    198200    263263
NC_1087   ,    119119    176206    244244    104110    173183    221221    231231    093093    146146    200200    249261
NC_1089   ,    119119    206206    246246    122142    173187    221226    231235    095097    142142    198198    259259
NC_1090   ,    119119    178178    244246    104104    167183    221221    231231    095097    136142    198200    261283
NC_1091   ,    109119    178178    244244    104104    173173    221221    231231    093093    136146    198200    261263
NC_1092   ,    119119    178206    246246    110122    173173    221222    231231    093095    118142    198200    251295
NC_1093   ,    119119    178194    244246    104122    183187    221222    231235    093095    136146    200200    263295
NC_1094   ,    119119    178190    244246    104124    167173    221221    231231    097097    142142    198198    257289
NC_1095   ,    117119    178192    246246    104110    167173    221221    235235    095095    132146    198202    263271
NC_1096   ,    119119    178178    246246    104104    167183    221221    231231    097097    142142    198198    257283
NC_1097   ,    119119    194194    246246    104104    167167    221221    231231    097097    142142    198198    257283
NC_1098   ,    119119    178178    244246    104104    173183    221221    231231    095097    142146    198198    257271
NC_1099   ,    119121    178194    244246    104104    173187    221222    231235    095097    142146    200200    257271
NC_1100   ,    119119    178186    246246    104104    173183    221222    231231    095097    134136    198198    257295
NC_1101   ,    117117    178192    246246    110110    173173    221221    235235    095095    132146    202202    263271
NC_1102   ,    119119    178178    246246    104104    173183    221221    231231    097097    136142    198198    257283
NC_1103   ,    117121    178192    244246    104112    183183    222228    231231    093093    132142    198198    271283
NC_1104   ,    119119    190190    246246    104124    177185    226226    235235    093097    132132    198200    251261
NC_1105   ,    117119    178194    246246    104104    183183    221221    231231    095097    142142    198198    271283
NC_1106   ,    119119    178204    246246    104104    173183    221221    231231    095095    132142    194198    271283
NC_1107   ,    119119    192194    246246    104104    167173    221222    231235    095095    136146    200202    257263
NC_1108   ,    119119    178190    244244    104124    173173    221221    231231    097097    142146    198198    271271
NC_1109   ,    117119    178204    244246    104104    173173    221221    231231    095095    132132    198198    271271
NC_1110   ,    117119    190190    244246    124124    173185    221226    235235    093093    132146    198198    251257
NC_1111   ,    119119    204204    244244    124142    187187    221221    231231    097097    132132    198198    251257
NC_1112   ,    119119    190204    244244    104124    173187    221228    231235    093093    132146    198202    261289
NC_1113   ,    117117    178178    246246    104104    173183    221221    231235    095095    142146    198198    263283
NC_1115   ,    109119    206206    244246    102142    167183    221226    231231    095097    136142    194198    271283
NC_1116   ,    119129    200206    244246    104124    175185    221222    231231    097101    132146    198198    251261
NC_1117   ,    119119    178194    244246    104142    145183    221222    231235    093097    118142    198198    257283
NC_1118   ,    119119    178194    246246    104104    167183    221222    231231    095095    134142    198200    283295
NC_1119   ,    119119    194194    244244    104104    173173    222222    231235    097097    134134    198200    283283
NC_1120   ,    117119    178178    244244    104116    167183    221222    231235    095097    132142    194198    261283
NC_1121   ,    119119    178178    244246    102104    183183    221222    231231    093097    142142    194198    283283
NC_1122   ,    119119    190190    244244    104124    167167    221221    231231    097097    142142    198198    271289
NC_1123   ,    119119    178190    244244    104124    173183    221222    231235    093097    142142    198198    283289
NC_1124   ,    119119    178178    244244    124124    167167    221221    231231    097097    142146    198198    271289
NC_1125   ,    119119    178178    244244    104124    173183    221226    231231    095097    142146    198198    283289
NC_1126   ,    119119    178206    244244    104124    167175    228228    231235    095101    134134    198202    271275
