MICROHAB	POINT	NAME	TREE	NEWX	NEWY	SPECIES MHAB
PRUNUS	100	Prunus_1094	1094	317.9	360.3	Prunus
PRUNUS	101	Prunus_1095	1095	317.4	360.3	Prunus
PRUNUS	102	Prunus_1096	1096	329.3	360.3	Prunus
PRUNUS	103	Prunus_1097	1097	301.7	379.0	Prunus
PRUNUS	104	Prunus_1098	1098	309.1	377.6	Prunus
PRUNUS	105	Prunus_1099	1099	310.2	379.1	Prunus
PRUNUS	106	Prunus_1100	1100	312.6	376.4	Prunus
PRUNUS	107	Prunus_1101	1101	324.8	388.8	Prunus
PRUNUS	108	Prunus_1102	1102	386.0	450.8	Prunus
PRUNUS	109	Prunus_1103	1103	342.9	475.7	Prunus
PRUNUS	110	Prunus_1104	1104	323.0	469.3	Prunus
PRUNUS	111	Prunus_1105	1105	327.6	467.5	Prunus
PRUNUS	112	Prunus_1106	1106	333.3	465.2	Prunus
PRUNUS	113	Prunus_1107	1107	334.3	476.7	Prunus
PRUNUS	114	Prunus_1108	1108	332.8	494.2	Prunus
PRUNUS	115	Prunus_1109	1109	331.2	512.2	Prunus
PRUNUS	116	Prunus_1110	1110	330.8	473.6	Prunus
PRUNUS	117	Prunus_1111	1111	397.6	505.3	Prunus
PRUNUS	118	Prunus_1112	1112	402.0	528.4	Prunus
PRUNUS	119	Prunus_1113	1113	410.3	567.1	Prunus
PRUNUS	120	Prunus_1114	1114	412.3	578.2	Prunus
PRUNUS	121	Prunus_1115	1115	412.7	580.6	Prunus
PRUNUS	122	Prunus_1116	1116	400.9	583.5	Prunus
PRUNUS	123	Prunus_1117	1117	408.1	591.1	Prunus
PRUNUS	124	Prunus_1118	1118	419.5	597.7	Prunus
PRUNUS	125	Prunus_1119	1119	408.1	615.8	Prunus
PRUNUS	126	Prunus_1120	1120	398.2	615.0	Prunus
PRUNUS	127	Prunus_1121	1121	415.1	648.9	Prunus
PRUNUS	128	Prunus_1122	1122	329.1	557.0	Prunus
PRUNUS	129	Prunus_1123	1123	319.4	569.4	Prunus
PRUNUS	130	Prunus_1124	1124	333.7	584.0	Prunus
PRUNUS	131	Prunus_1125	1125	278.5	491.2	Prunus
PRUNUS	132	Prunus_1126	1126	278.5	490.7	Prunus
PRUNUS	133	Prunus_1127	1127	278.6	489.8	Prunus
PRUNUS	134	Prunus_1128	1128	273.7	491.9	Prunus
PRUNUS	135	Prunus_1129	1129	282.6	508.0	Prunus
PRUNUS	136	Prunus_1130	1130	279.7	500.9	Prunus
PRUNUS	137	Prunus_1131	1131	279.7	500.9	Prunus
PRUNUS	138	Prunus_1132	1132	256.9	512.4	Prunus
PRUNUS	139	Prunus_1133	1133	265.8	502.8	Prunus
PRUNUS	140	Prunus_1134	1134	130.2	303.5	Prunus
PRUNUS	141	Prunus_1135	1135	137.4	288.8	Prunus
PRUNUS	142	Prunus_1136	1136	128.2	310.7	Prunus
PRUNUS	143	Prunus_1137	1137	121.9	325.7	Prunus
PRUNUS	144	Prunus_1138	1138	114.7	326.8	Prunus
PRUNUS	145	Prunus_1139	1139	174.3	309.9	Prunus
PRUNUS	146	Prunus_1140	1140	174.3	309.9	Prunus
PRUNUS	147	Prunus_1141	1141	185.8	309.4	Prunus
PRUNUS	148	Prunus_1142	1142	188.5	307.0	Prunus
PRUNUS	149	Prunus_1143	1143	188.5	307.0	Prunus
PRUNUS	150	Prunus_1144	1144	192.4	313.5	Prunus
PRUNUS	151	Prunus_1145	1145	193.7	311.5	Prunus
