SITE	MHAB	POINT	LABEL	OX	OY	x	y	AREA	SITE2	MICRO	MICROCAMPO	sdl97	sd9798	sdl98	sd9899	sdl99	sd9900	sd	sdl
DRCHA	R	9	DRCHAR9	-123.68	-132.25	76.32	167.75	OUT	DRCHA	R	R	0	0	0	0	0	0	0	0
DRCHA	R	10	DRCHAR10	-126.49	-136.84	73.51	163.16	OUT	DRCHA	R	R	0	0	0	0	0	2	2	0
DRCHA	S	1	DRCHAS1	-137.93	-185.02	62.07	114.98	OUT	DRCHA	S	S	0	1	0	0	0	0	1	0
DRCHA	S	2	DRCHAS2	-130.24	-177.20	69.76	122.80	OUT	DRCHA	S	S	0	0	0	0	0	0	0	0
DRCHA	S	3	DRCHAS3	-121.01	-171.79	78.99	128.21	OUT	DRCHA	S	S	0	0	0	0	0	0	0	0
DRCHA	S	4	DRCHAS4	-114.10	-181.03	85.90	118.97	OUT	DRCHA	S	S	0	0	0	0	0	0	0	0
DRCHA	S	5	DRCHAS5	-103.93	-184.36	96.07	115.64	OUT	DRCHA	S	S	0	0	0	0	0	0	0	0
DRCHA	S	6	DRCHAS6	-89.77	-179.53	110.23	120.47	OUT	DRCHA	S	S	0	0	0	0	0	0	0	0
DRCHA	S	7	DRCHAS7	-80.93	-169.65	119.07	130.35	OUT	DRCHA	S	S	0	0	0	0	0	0	0	0
DRCHA	S	8	DRCHAS8	-75.90	-149.55	124.10	150.45	OUT	DRCHA	S	S	0	0	0	0	0	0	0	0
DRCHA	S	9	DRCHAS9	-81.35	-140.11	118.65	159.89	OUT	DRCHA	S	S	0	0	0	0	0	0	0	0
DRCHA	S	10	DRCHAS10	-87.38	-125.23	112.62	174.77	OUT	DRCHA	S	S	0	0	0	0	0	0	0	0
ESQ	A	11	ESQA11	192.98	721.84	392.98	1021.84	OUT	ESQ	A	A	1	0	0	0	0	0	0	1
ESQ	A	12	ESQA12	120.46	592.48	320.46	892.48	OUT	ESQ	A	A	0	0	0	0	0	1	1	0
ESQ	A	13	ESQA13	104.04	645.26	304.04	945.26	OUT	ESQ	A	A	0	0	0	0	0	1	1	0
ESQ	A	14	ESQA14	109.57	662.81	309.57	962.81	OUT	ESQ	A	A	0	3	0	0	1	0	3	1
ESQ	A	15	ESQA15	188.35	697.43	388.35	997.43	OUT	ESQ	A	A	2	4	1	0	2	16	20	5
ESQ	A	16	ESQA16	200.10	730.64	400.10	1030.64	OUT	ESQ	A	A	0	5	1	0	0	20	25	1
ESQ	A	17	ESQA17	206.60	731.79	406.60	1031.79	OUT	ESQ	A	A	1	0	0	0	0	0	0	1
ESQ	A	18	ESQA18	189.76	700.85	389.76	1000.85	OUT	ESQ	A	A	1	0	0	0	0	0	0	1
ESQ	A	19	ESQA19	194.48	705.90	394.48	1005.90	OUT	ESQ	A	A	1	1	0	0	0	30	31	1
ESQ	A	20	ESQA20	202.49	724.07	402.49	1024.07	OUT	ESQ	A	A	1	0	2	0	0	0	0	3
ESQ	a	10	ESQa10	125.04	696.43	325.04	996.43	OUT	ESQ	a	a	1	0	0	0	0	0	0	1
ESQ	a	11	ESQa11	54.23	461.92	254.23	761.92	OUT	ESQ	a	a	0	0	0	0	0	0	0	0
ESQ	a	12	ESQa12	76.74	499.00	276.74	799.00	OUT	ESQ	a	a	0	0	0	0	0	0	0	0
ESQ	a	13	ESQa13	96.89	536.01	296.89	836.01	OUT	ESQ	a	a	0	0	0	0	0	0	0	0
ESQ	a	14	ESQa14	111.85	568.09	311.85	868.09	OUT	ESQ	a	a	0	0	0	0	0	0	0	0
ESQ	a	15	ESQa15	24.72	451.18	224.72	751.18	OUT	ESQ	a	a	0	0	0	0	0	0	0	0
ESQ	a	16	ESQa16	113.73	663.93	313.73	963.93	OUT	ESQ	a	a	0	0	0	0	0	0	0	0
ESQ	a	17	ESQa17	180.20	711.09	380.20	1011.09	OUT	ESQ	a	a	0	0	0	0	0	1	1	0
ESQ	a	18	ESQa18	202.61	716.66	402.61	1016.66	OUT	ESQ	a	a	0	0	0	0	0	0	0	0
ESQ	a	19	ESQa19	70.37	483.19	270.37	783.19	OUT	ESQ	a	a	0	4	0	0	0	0	4	0
ESQ	a	20	ESQa20	68.41	484.77	268.41	784.77	OUT	ESQ	a	a	0	0	0	0	0	0	0	0
ESQ	N	11	ESQN11	199.05	721.98	399.05	1021.98	OUT	ESQ	N	N	0	1	0	0	0	0	1	0
ESQ	N	12	ESQN12	190.69	715.93	390.69	1015.93	OUT	ESQ	N	N	1	0	0	0	0	1	1	1
ESQ	N	13	ESQN13	183.78	724.23	383.78	1024.23	OUT	ESQ	N	N	0	1	0	0	0	1	2	0
ESQ	N	14	ESQN14	109.15	681.02	309.15	981.02	OUT	ESQ	N	N	0	2	0	0	0	3	5	0
ESQ	N	15	ESQN15	105.64	627.20	305.64	927.20	OUT	ESQ	N	N	0	0	0	0	0	0	0	0
ESQ	N	16	ESQN16	72.86	520.68	272.86	820.68	OUT	ESQ	N	N	0	0	0	0	0	0	0	0
ESQ	N	17	ESQN17	67.22	497.63	267.22	797.63	OUT	ESQ	N	N	0	0	0	0	0	0	0	0
ESQ	N	18	ESQN18	22.95	464.65	222.95	764.65	OUT	ESQ	N	N	0	0	0	0	0	0	0	0
ESQ	N	19	ESQN19	27.24	466.68	227.24	766.68	OUT	ESQ	N	N	0	0	0	0	0	0	0	0
ESQ	N	20	ESQN20	40.65	479.61	240.65	779.61	OUT	ESQ	N	N	0	0	0	0	0	0	0	0
ESQ	P	11	ESQP11	72.56	530.14	272.56	830.14	OUT	ESQ	P	P	0	0	0	0	0	0	0	0
ESQ	P	12	ESQP12	75.83	480.04	275.83	780.04	OUT	ESQ	P	P	0	0	0	0	0	0	0	0
ESQ	P	13	ESQP13	96.89	513.11	296.89	813.11	OUT	ESQ	P	P	1	0	0	0	1	2	2	2
ESQ	P	14	ESQP14	112.37	560.30	312.37	860.30	OUT	ESQ	P	P	0	2	0	0	1	1	3	1
ESQ	P	15	ESQP15	105.02	612.91	305.02	912.91	OUT	ESQ	P	P	0	0	0	0	0	0	0	0
ESQ	P	16	ESQP16	119.46	606.75	319.46	906.75	OUT	ESQ	P	P	0	0	0	0	0	0	0	0
ESQ	P	17	ESQP17	153.06	664.16	353.06	964.16	OUT	ESQ	P	P	0	0	1	0	0	0	0	1
ESQ	P	18	ESQP18	172.49	712.72	372.49	1012.72	OUT	ESQ	P	P	0	0	0	0	0	1	1	0
ESQ	P	19	ESQP19	196.42	716.93	396.42	1016.93	OUT	ESQ	P	P	1	0	0	0	0	3	3	1
ESQ	P	20	ESQP20	218.78	732.59	418.78	1032.59	OUT	ESQ	P	P	1	0	0	0	0	0	0	1
