MICROHAB	POINT	NAME	TREE	x	y
PRUNUS	119	Prunus_1113	1113	410.299	567.082
PRUNUS	120	Prunus_1114	1114	412.262	578.210
PRUNUS	121	Prunus_1115	1115	412.678	580.573
PRUNUS	122	Prunus_1116	1116	400.933	583.493
PRUNUS	123	Prunus_1117	1117	408.059	591.144
PRUNUS	124	Prunus_1118	1118	419.490	597.744
PRUNUS	125	Prunus_1119	1119	408.059	615.844
PRUNUS	126	Prunus_1120	1120	398.197	614.981
PRUNUS	127	Prunus_1121	1121	415.086	648.906
PRUNUS	128	Prunus_1122	1122	329.100	557.000
PRUNUS	129	Prunus_1123	1123	319.400	569.400
PRUNUS	130	Prunus_1124	1124	333.700	584.000
PRUNUS	131	Prunus_1125	1125	278.512	491.158
PRUNUS	132	Prunus_1126	1126	278.512	490.704
PRUNUS	133	Prunus_1127	1127	278.607	489.802
PRUNUS	134	Prunus_1128	1128	273.651	491.925
PRUNUS	135	Prunus_1129	1129	282.614	507.964
PRUNUS	136	Prunus_1130	1130	279.704	500.908
PRUNUS	137	Prunus_1131	1131	279.703	500.908
PRUNUS	138	Prunus_1132	1132	256.880	512.380
PRUNUS	139	Prunus_1133	1133	265.820	502.810
PRUNUS	140	Prunus_1134	1134	130.177	303.501
PRUNUS	141	Prunus_1135	1135	137.351	288.775
PRUNUS	142	Prunus_1136	1136	128.236	310.745
PRUNUS	143	Prunus_1137	1137	121.867	325.749
PRUNUS	144	Prunus_1138	1138	114.737	326.751
PRUNUS	145	Prunus_1139	1139	174.302	309.870
PRUNUS	146	Prunus_1140	1140	174.400	310.000
PRUNUS	147	Prunus_1141	1141	185.750	309.356
PRUNUS	148	Prunus_1142	1142	188.497	307.036
PRUNUS	149	Prunus_1143	1143	188.600	307.060
PRUNUS	150	Prunus_1144	1144	192.393	313.521
PRUNUS	151	Prunus_1145	1145	193.700	311.508
PRUNUS	152	Prunus_1146	1146	194.223	319.122
PRUNUS	153	Prunus_1147	1147	197.430	323.126
PRUNUS	154	Prunus_1148	1148	195.736	331.019
PRUNUS	155	Prunus_1149	1149	196.217	333.584
PRUNUS	156	Prunus_1150	1150	196.993	342.450
PRUNUS	157	Prunus_1151	1151	201.871	339.234
