357  1    119  121  178  192  244  246  106  142  173  183  221  228  231  235  93   95   132  146  198  200  249  251
359  1    119  121  194  194  244  246  122  124  183  183  222  228  235  235  93   95   142  148  198  200  257  297
360  1    119  119  178  194  246  246  104  142  161  173  221  226  231  235  95   97   134  142  194  200  283  295
362  1    119  119  178  194  244  246  104  104  167  183  222  222  231  235  93   93   142  146  194  198  283  295
364  1    117  119  194  194  244  246  104  142  145  161  222  226  231  231  95   97   134  142  194  198  261  295
365  1    117  119  176  194  244  244  104  104  173  183  222  226  231  231  93   97   142  148  198  198  257  295
372  1    117  119  178  194  244  246  104  142  145  183  222  222  231  231  93   97   142  146  194  198  283  295
373  1    117  119  194  206  244  244  104  104  183  187  221  222  231  235  95   97   132  146  194  198  271  283
375  1    117  117  178  204  244  246  104  104  183  183  221  221  231  231  95   95   142  142  198  198  283  283
377  1    117  119  178  178  246  246  104  142  145  183  222  222  231  235  93   97   142  146  194  194  287  295
378  1    119  119  178  178  244  246  102  104  167  169  222  222  231  231  93   95   142  142  198  198  271  287
379  1    119  121  186  194  246  246  104  122  145  183  221  222  231  235  95   97   134  146  194  200  283  295
380  1    117  119  178  204  244  246  104  104  169  183  221  226  231  231  95   95   134  142  194  198  271  271
385  1    119  119  178  178  244  246  104  104  169  183  222  226  231  231  95   95   134  142  198  198  271  283
396  1    117  121  178  186  244  246  104  104  145  183  221  222  231  235  93   95   134  146  194  200  295  295
397  1    119  119  178  178  244  246  102  102  183  183  221  222  231  235  93   93   142  142  194  198  287  287
398  1    119  119  178  178  244  246  104  104  183  183  222  222  231  235  93   93   142  142  194  194  287  287
399  1    119  119  178  178  244  246  102  104  183  183  221  222  231  235  93   93   142  142  198  198  283  283
400  1    119  119  178  178  244  246  102  102  167  183  221  222  231  231  93   93   142  142  198  198  283  287
1820 1    119  119  178  204  244  246  110  116  173  183  221  226  235  235  93   107  132  132  198  200  249  287
1821 1    119  119  176  178  244  244  104  104  173  173  221  221  231  231  93   93   136  146  198  200  261  263
1822 1    119  119  178  194  244  246  122  142  145  183  222  222  231  231  93   95   134  146  194  198  283  295
1823 1    109  119  178  178  244  246  104  104  173  173  221  221  231  231  93   93   136  136  198  200  263  263
1824 1    117  119  178  178  244  244  142  142  183  183  221  221  231  231  95   95   132  136  198  198  261  261
1825 1    117  119  178  206  244  244  104  124  167  183  221  221  231  235  93   95   132  132  198  198  251  257
