ord	site	site2	mhab	mhab2	trap	name	ox	oy	x	y	spp.pral	pl.agra97	seed.agra9798	pl.agra98	seed.agra9899	pl.agra99	pl.aita97	seed.aita9798	pl.aita98	seed.aita9899	pl.aita99	pl.aova97	seed.aova9798	pl.aova98	seed.aova9899	pl.aova99	pl.bvul97	seed.bvul9798	pl.bvul98	seed.bvul9899	pl.bvul99	pl.cgra97	seed.cgra9798	pl.cgra98	seed.cgra9899	pl.cgra99	pl.cmon97	seed.cmon9798	pl.cmon98	seed.cmon9899	pl.cmon99	pl.dlau97	seed.dlau9798	pl.dlau98	seed.dlau9899	pl.dlau99	pl.hhel97	seed.hhel9798	pl.hhel98	seed.hhel9899	pl.hhel99	pl.jcom97	seed.jcom9798	pl.jcom98	seed.jcom9899	pl.jcom99	pl.jpho97	seed.jpho9798	pl.jpho98	seed.jpho9899	pl.jpho99	pl.jsab97	seed.jsab9798	pl.jsab98	seed.jsab9899	pl.jsab99	pl.joxy97	seed.joxy9798	pl.joxy98	seed.joxy9899	pl.joxy99	pl.larb97	seed.larb9798	pl.larb98	seed.larb9899	pl.larb99	pl.lspl97	seed.lspl9798	pl.lspl98	seed.lspl9899	pl.lspl99	pl.pbro97	seed.pbro9798	pl.pbro98	seed.pbro9899	pl.pbro99	pl.pmah97	seed.pmah9798	pl.pmah98	seed.pmah9899	pl.pmah99	seed.pmah99	pl.pnig97	seed.pnig9798	pl.pnig98	seed.pnig9899	pl.pnig99	pl.qspp97	seed.qspp9798	pl.qspp98	seed.qspp9899	pl.qspp99	pl.rosa97	seed.rosa9798	pl.rosa98	seed.rosa9899	pl.rosa99	pl.rhamnus97	seed.rhamnus9798	pl.98rhamnus	seed.rhamnus9899	pl.rhamnus99	pl.sari97	seed.sari9798	pl.sari98	seed.sari9899	pl.sari99	pl.tbac97	seed.tbac9798	pl.tbac98	seed.tbac9899	pl.tbac99	seed.tbac99	pl.podo97	seed.podo9798	pl.podo98	seed.podo9899	pl.99podo	pl.rper97	seed.rper9798	pl.rper98	seed.rper9899	pl.rper99
131	OUT	DRCHA	B	B	1	DRCHAB1	-129,19	-174,93	70,81	125,07	Bvul	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	OUT	DRCHA	B	B	2	DRCHAB2	-113,79	-184,51	86,21	115,49	Jcom	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	OUT	DRCHA	B	B	3	DRCHAB3	-116,93	-169,65	83,07	130,35	Jcom	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	OUT	DRCHA	B	B	4	DRCHAB4	-98,33	-169,65	101,67	130,35	Jcom	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	OUT	DRCHA	B	B	5	DRCHAB5	-105,33	-141,95	94,67	158,05	Bvul	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	OUT	DRCHA	B	B	6	DRCHAB6	-138,93	-135,95	61,07	164,05	Jcom	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	OUT	DRCHA	B	B	7	DRCHAB7	-159,23	-128,56	40,77	171,44	Bvul	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	OUT	DRCHA	B	B	8	DRCHAB8	-71,94	-89,94	128,06	210,06	Rsax	0	8	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	OUT	DRCHA	B	B	9	DRCHAB9	-137,82	-163,28	62,18	136,72	Rsax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	45	0	0	0	0	11	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	OUT	DRCHA	N	N	1	DRCHAN1	-77,82	-208,17	122,18	91,83	Agra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
