SITE	MHAB	DENOM	OX	OY	NEWX	NEWY	SEEDS	SEEDL
IN	P	INP73	20.06	164.82	220.06	464.82	8	0
IN	P	INP74	14.43	164.96	214.43	464.96	0	3
IN	P	INP75	10.5	165.66	210.50	465.66	2	1
IN	P	INP76	6.14	159.43	206.14	459.43	3	0
IN	P	INP77	3.33	177.61	203.33	477.61	1	1
IN	P	INP78	-3.08	180.2	196.92	480.20	1	0
IN	P	INP79	-12.29	174.76	187.71	474.76	2	1
IN	P	INP8	14.76	302.11	214.76	602.11	0	1
IN	P	INP80	-29	186.46	171.00	486.46	3	9
IN	P	INP9	-3.42	311.26	196.58	611.26	.	.
IN	Poste esq. N	INPoste esq. N	65.12	451.03	265.12	751.03	.	.
IN	Poste esq. S	INPoste esq. S	0	0	200.00	300.00	.	.
IN	R	INR1	55.89	162.22	255.89	462.22	1	0
IN	R	INR10	56.24	136.93	256.24	436.93	.	.
IN	R	INR11	-61.06	144.88	138.94	444.88	.	.
IN	R	INR12	-62.86	147.64	137.14	447.64	.	.
IN	R	INR13	-64.32	145.26	135.68	445.26	.	.
IN	R	INR14	-65.91	141.86	134.09	441.86	1	0
IN	R	INR15	-62.65	144.3	137.35	444.30	.	.
IN	R	INR16	-44.89	5.2	155.11	305.20	.	.
IN	R	INR17	-39.59	9.28	160.41	309.28	.	.
IN	R	INR18	-37.28	9.9	162.72	309.90	.	.
IN	R	INR19	-36.11	5.94	163.89	305.94	4	0
IN	R	INR2	55.37	165.17	255.37	465.17	1	0
IN	R	INR20	-42.37	3.83	157.63	303.83	.	.
IN	R	INR21	-64.78	25.56	135.22	325.56	2	0
IN	R	INR22	-68.73	27	131.27	327.00	.	.
IN	R	INR23	-73.62	28.78	126.38	328.78	.	.
IN	R	INR24	-81.7	25.94	118.30	325.94	.	.
IN	R	INR25	-83.25	23.33	116.75	323.33	.	.
IN	R	INR26	-65.59	65.31	134.41	365.31	.	.
IN	R	INR27	-64.01	66.94	135.99	366.94	.	.
IN	R	INR28	-68.78	71.31	131.22	371.31	.	.
IN	R	INR29	-70.08	68.67	129.92	368.67	.	.
IN	R	INR3	55.34	166.18	255.34	466.18	.	.
IN	R	INR30	-72.63	66.64	127.37	366.64	1	0
IN	R	INR31	-153.43	80.83	46.57	380.83	.	.
IN	R	INR32	-148.36	76.93	51.64	376.93	.	.
IN	R	INR33	-149.71	72.85	50.29	372.85	.	.
IN	R	INR34	-146.68	69.14	53.32	369.14	.	.
IN	R	INR35	-145.19	63.16	54.81	363.16	.	.
IN	R	INR36	-138.98	60.19	61.02	360.19	.	.
IN	R	INR37	-134.54	58.31	65.46	358.31	.	.
IN	R	INR38	-134.91	54.37	65.09	354.37	.	.
IN	R	INR39	-134.13	47.4	65.87	347.40	.	.
IN	R	INR4	52.12	165.34	252.12	465.34	.	.
IN	R	INR40	-131.43	42.73	68.57	342.73	.	.
IN	R	INR41	1.33	171.62	201.33	471.62	.	.
IN	R	INR42	-1.8	172.25	198.20	472.25	1	0
IN	R	INR43	-5.77	174.05	194.23	474.05	.	.
IN	R	INR44	-8.53	170.76	191.47	470.76	2	0
IN	R	INR45	-11.79	167.5	188.21	467.50	2	0
IN	R	INR46	91.68	213.66	291.68	513.66	2	0
IN	R	INR47	90.1	215.55	290.10	515.55	.	.
IN	R	INR48	91.06	214.7	291.06	514.70	1	0
IN	R	INR49	96.91	217.53	296.91	517.53	.	.
IN	R	INR5	59.54	162.86	259.54	462.86	2	0
IN	R	INR50	95.42	214.23	295.42	514.23	1	0
IN	R	INR51	79.86	219.66	279.86	519.66	2	0
IN	R	INR52	81.61	219.8	281.61	519.80	.	.
IN	R	INR53	78.91	222.72	278.91	522.72	1	0
IN	R	INR54	77.01	223.66	277.01	523.66	1	0
IN	R	INR55	80.34	224.77	280.34	524.77	.	.
IN	R	INR56	81.18	224.51	281.18	524.51	.	.
IN	R	INR57	82.72	226.11	282.72	526.11	1	0
IN	R	INR58	81.92	226.84	281.92	526.84	.	.
IN	R	INR59	80.94	227.81	280.94	527.81	1	0
IN	R	INR6	56.62	143.3	256.62	443.30	2	0
IN	R	INR60	83.21	228.87	283.21	528.87	3	0
IN	R	INR61	84.03	226.61	284.03	526.61	2	0
IN	R	INR62	90.1	225.65	290.10	525.65	1	0
IN	R	INR63	91.01	228.87	291.01	528.87	.	.
IN	R	INR64	87.39	235	287.39	535.00	.	.
IN	R	INR65	83.1	237.49	283.10	537.49	1	0
IN	R	INR66	80.34	245.63	280.34	545.63	.	.
IN	R	INR67	87.34	249.14	287.34	549.14	.	.
IN	R	INR68	99.01	257.29	299.01	557.29	.	.
IN	R	INR69	95.37	259.49	295.37	559.49	.	.
IN	R	INR7	50.89	141.63	250.89	441.63	2	0
IN	R	INR70	92.27	262.67	292.27	562.67	.	.
IN	R	INR71	79.3	362.75	279.30	662.75	.	.
IN	R	INR72	83.54	371.17	283.54	671.17	.	.
IN	R	INR73	89.32	371.23	289.32	671.23	.	.
IN	R	INR74	93.26	374.04	293.26	674.04	.	.
IN	R	INR75	95.34	370.82	295.34	670.82	.	.
IN	R	INR76	91.24	381.33	291.24	681.33	.	.
IN	R	INR77	95.04	383.1	295.04	683.10	.	.
IN	R	INR78	98.43	384.85	298.43	684.85	.	.
IN	R	INR79	101.99	387.5	301.99	687.50	.	.
IN	R	INR8	47.96	140.9	247.96	440.90	.	.
IN	R	INR80	107.91	395.52	307.91	695.52	.	.
IN	R	INR9	56.26	139.98	256.26	439.98	.	.
IN	S	INS1	61.6	163.22	261.60	463.22	.	.
IN	S	INS10	38.27	215.66	238.27	515.66	.	.
IN	S	INS11	64.45	153.17	264.45	453.17	.	.
IN	S	INS12	49.4	119.42	249.40	419.42	.	.
IN	S	INS13	41.48	101.58	241.48	401.58	.	.
IN	S	INS14	18.37	60.51	218.37	360.51	.	.
IN	S	INS15	-11.69	17.79	188.31	317.79	2	0
IN	S	INS16	-22.45	181.87	177.55	481.87	.	.
IN	S	INS17	-20.34	187.99	179.66	487.99	.	.
IN	S	INS18	-34.1	195.3	165.90	495.30	.	.
IN	S	INS19	-37.93	189.71	162.07	489.71	.	.
IN	S	INS2	61.47	179.82	261.47	479.82	.	.
IN	S	INS20	-33.6	183.89	166.40	483.89	.	.
IN	S	INS21	-126.72	113.39	73.28	413.39	.	.
IN	S	INS22	-121.52	122.4	78.48	422.40	.	.
IN	S	INS23	-119.72	125.51	80.28	425.51	.	.
IN	S	INS24	-105.19	131.66	94.81	431.66	.	.
IN	S	INS25	-47.9	186.46	152.10	486.46	.	.
IN	S	INS26	-59.07	175.52	140.93	475.52	.	.
IN	S	INS27	-62.49	159.37	137.51	459.37	.	.
IN	S	INS28	-63.07	146.29	136.93	446.29	.	.
IN	S	INS29	-99.03	135.37	100.97	435.37	.	.
IN	S	INS3	73.62	165.34	273.62	465.34	.	.
IN	S	INS30	-82.28	137.3	117.72	437.30	.	.
IN	S	INS31	-73.7	173.94	126.30	473.94	.	.
IN	S	INS32	-81.71	175.23	118.29	475.23	.	.
IN	S	INS33	-100.78	181.99	99.22	481.99	.	.
IN	S	INS34	-106.45	190.95	93.55	490.95	4	0
IN	S	INS35	-118.26	201.78	81.74	501.78	.	.
IN	S	INS36	-122.72	187.87	77.28	487.87	.	.
IN	S	INS37	-121.86	176.31	78.14	476.31	.	.
IN	S	INS38	-120.65	157.17	79.35	457.17	.	.
IN	S	INS39	-109.58	159.43	90.42	459.43	.	.
IN	S	INS4	69.17	190.55	269.17	490.55	.	.
IN	S	INS40	-102.19	165.95	97.81	465.95	.	.
IN	S	INS41	41.71	277.82	241.71	577.82	.	.
IN	S	INS42	36.17	264.13	236.17	564.13	.	.
IN	S	INS43	37.48	259.77	237.48	559.77	.	.
IN	S	INS44	41.55	254.01	241.55	554.01	.	.
IN	S	INS45	43.44	249.22	243.44	549.22	.	.
IN	S	INS46	45.09	243.34	245.09	543.34	.	.
IN	S	INS47	47.74	240.08	247.74	540.08	.	.
IN	S	INS48	50.82	238.22	250.82	538.22	.	.
IN	S	INS49	52.84	236.14	252.84	536.14	.	.
IN	S	INS5	59.84	203.21	259.84	503.21	.	.
IN	S	INS50	46.55	235.68	246.55	535.68	.	.
IN	S	INS51	30.14	279.63	230.14	579.63	.	.
IN	S	INS52	36.26	296.04	236.26	596.04	.	.
IN	S	INS53	43.38	311.8	243.38	611.80	.	.
IN	S	INS54	45.87	326.21	245.87	626.21	.	.
IN	S	INS55	77.1	356.52	277.10	656.52	.	.
IN	S	INS56	69.8	348.94	269.80	648.94	.	.
IN	S	INS57	49.08	303.95	249.08	603.95	.	.
IN	S	INS58	43.29	286.76	243.29	586.76	.	.
IN	S	INS59	46.06	279.07	246.06	579.07	.	.
IN	S	INS6	4.5	235.16	204.50	535.16	.	.
IN	S	INS60	54.59	321.54	254.59	621.54	.	.
IN	S	INS61	52.14	245.63	252.14	545.63	.	.
IN	S	INS62	57.11	244.62	257.11	544.62	.	.
IN	S	INS63	58.33	248.53	258.33	548.53	.	.
IN	S	INS64	64.1	247.05	264.10	547.05	.	.
IN	S	INS65	68.13	247.79	268.13	547.79	.	.
IN	S	INS66	70.1	250.41	270.10	550.41	.	.
IN	S	INS67	74.28	249.13	274.28	549.13	.	.
IN	S	INS68	75.89	253.34	275.89	553.34	.	.
IN	S	INS69	79.55	254.7	279.55	554.70	.	.
IN	S	INS7	13.53	232.98	213.53	532.98	.	.
IN	S	INS70	75.83	262.44	275.83	562.44	.	.
IN	S	INS71	87.14	264.33	287.14	564.33	.	.
IN	S	INS72	90.05	272.32	290.05	572.32	.	.
IN	S	INS73	91.56	276.46	291.56	576.46	.	.
IN	S	INS74	104.77	301.5	304.77	601.50	.	.
IN	S	INS75	109.14	304.06	309.14	604.06	.	.
IN	S	INS76	114.84	306.58	314.84	606.58	.	.
IN	S	INS77	116.5	312.4	316.50	612.40	.	.
IN	S	INS78	120.32	314.11	320.32	614.11	.	.
IN	S	INS79	123.21	318.4	323.21	618.40	.	.
IN	S	INS8	20.04	230.96	220.04	530.96	.	.
IN	S	INS80	122.82	322.67	322.82	622.67	.	.
IN	S	INS9	32.29	218.45	232.29	518.45	.	.
