SITE	MHAB	DENOM	OX	OY	NEWX	NEWY	SEEDS	SEEDL
ESQ	N	ESQN17	67.22	497.63	267.22	797.63	.	.
ESQ	N	ESQN18	22.95	464.65	222.95	764.65	.	.
ESQ	N	ESQN19	27.24	466.68	227.24	766.68	.	.
ESQ	N	ESQN20	40.65	479.61	240.65	779.61	.	.
ESQ	P	ESQP11	72.56	530.14	272.56	830.14	.	.
ESQ	P	ESQP12	75.83	480.04	275.83	780.04	.	.
ESQ	P	ESQP13	96.89	513.11	296.89	813.11	.	.
ESQ	P	ESQP14	112.37	560.3	312.37	860.30	.	.
ESQ	P	ESQP15	105.02	612.91	305.02	912.91	.	.
ESQ	P	ESQP16	119.46	606.75	319.46	906.75	.	.
ESQ	P	ESQP17	153.06	664.16	353.06	964.16	.	.
ESQ	P	ESQP18	172.49	712.72	372.49	1012.72	.	.
ESQ	P	ESQP19	196.42	716.93	396.42	1016.93	.	.
ESQ	P	ESQP20	218.78	732.59	418.78	1032.59	.	.
ESQ	R	ESQR11	54.23	489.22	254.23	789.22	.	.
ESQ	R	ESQR12	50.95	486.8	250.95	786.80	.	.
ESQ	R	ESQR13	63.36	496.02	263.36	796.02	.	.
ESQ	R	ESQR14	87.65	502.75	287.65	802.75	.	.
ESQ	R	ESQR15	83	580.33	283.00	880.33	.	.
ESQ	R	ESQR16	92.74	630.44	292.74	930.44	.	.
ESQ	R	ESQR17	89.22	651.06	289.22	951.06	.	.
ESQ	R	ESQR18	114.49	693.04	314.49	993.04	.	.
ESQ	R	ESQR19	140.33	707.65	340.33	1007.65	.	.
ESQ	R	ESQR20	187.63	730.9	387.63	1030.90	.	.
ESQ	S	ESQS11	63.75	469.22	263.75	769.22	.	.
ESQ	S	ESQS12	83.74	489.47	283.74	789.47	.	.
ESQ	S	ESQS13	73.89	513.11	273.89	813.11	.	.
ESQ	S	ESQS14	87.19	547.57	287.19	847.57	.	.
ESQ	S	ESQS15	103.23	571.95	303.23	871.95	.	.
ESQ	S	ESQS16	142.41	671.61	342.41	971.61	.	.
ESQ	S	ESQS17	144.45	694.82	344.45	994.82	.	.
ESQ	S	ESQS18	167	692.25	367.00	992.25	.	.
ESQ	S	ESQS19	167	708.75	367.00	1008.75	.	.
ESQ	S	ESQS20	203.81	731.47	403.81	1031.47	.	.
ESQ	X	ESQX1	253.58	787.98	453.58	1087.98	.	.
ESQ	X	ESQX10	208.53	742.84	408.53	1042.84	.	.
ESQ	X	ESQX11	211.07	752.31	411.07	1052.31	.	.
ESQ	X	ESQX12	253.52	814.76	453.52	1114.76	.	.
ESQ	X	ESQX2	247.83	786.92	447.83	1086.92	.	.
ESQ	X	ESQX3	249.31	795.29	449.31	1095.29	.	.
ESQ	X	ESQX4	259.61	813.13	459.61	1113.13	.	.
ESQ	X	ESQX5	265.47	819	465.47	1119.00	.	.
ESQ	X	ESQX6	264.93	824.55	464.93	1124.55	.	.
ESQ	X	ESQX7	173.22	725.15	373.22	1025.15	.	.
ESQ	X	ESQX8	167.54	725.65	367.54	1025.65	.	.
ESQ	X	ESQX9	135.27	721.55	335.27	1021.55	.	.
IN	A	INA1	12.68	178.07	212.68	478.07	3	0
IN	A	INA10	-51.21	176.11	148.79	476.11	15	1
IN	A	INA11	-69.81	170.28	130.19	470.28	0	1
IN	A	INA12	-64.98	120.89	135.02	420.89	.	.
IN	A	INA13	-94.55	128.47	105.45	428.47	.	.
IN	A	INA14	-100.3	128.02	99.70	428.02	.	.
IN	A	INA15	-130.47	115.18	69.53	415.18	.	.
IN	A	INA16	-130.41	121.69	69.59	421.69	.	.
IN	A	INA17	-129.03	128.28	70.97	428.28	.	.
IN	A	INA18	-141.22	154.09	58.78	454.09	.	.
IN	A	INA19	47.21	155.73	247.21	455.73	3	1
IN	A	INA2	-1.15	169.45	198.85	469.45	4	0
IN	A	INA20	52.05	155.28	252.05	455.28	62	0
IN	A	INA21	59.99	153.22	259.99	453.22	10	4
IN	A	INA22	61.41	158.29	261.41	458.29	7	1
IN	A	INA23	61.24	148.58	261.24	448.58	3	1
IN	A	INA24	54.98	131.39	254.98	431.39	5	0
IN	A	INA25	41.88	115.92	241.88	415.92	6	1
IN	A	INA26	32.81	111.69	232.81	411.69	9	0
IN	A	INA27	22.7	121.8	222.70	421.80	34	0
IN	A	INA28	40.8	107.14	240.80	407.14	2	2
IN	A	INA29	39.38	97.94	239.38	397.94	36	0
IN	A	INA3	-19.34	166.82	180.66	466.82	4	1
IN	A	INA30	42.29	95.5	242.29	395.50	39	1
IN	A	INA31	28.43	80.42	228.43	380.42	19	0
IN	A	INA32	16.28	56.89	216.28	356.89	4	5
IN	A	INA33	-5.15	15.77	194.85	315.77	1	1
IN	A	INA34	-59.99	-16.37	140.01	283.63	1	0
IN	A	INA35	-64.22	-7.06	135.78	292.94	3	0
IN	A	INA36	-64.22	7.64	135.78	307.64	10	1
IN	A	INA37	-66.86	17.49	133.14	317.49	16	0
IN	A	INA38	-88.16	10.51	111.84	310.51	5	0
IN	A	INA39	-71.05	48.78	128.95	348.78	14	0
IN	A	INA4	-21.53	168.46	178.47	468.46	2	0
IN	A	INA40	40.35	128.48	240.35	428.48	36	0
IN	A	INA41	-56.02	-19.67	143.98	280.33	.	.
IN	A	INA42	-62.47	-13.27	137.53	286.73	3	0
IN	A	INA43	-59.19	-1.65	140.81	298.35	.	.
IN	A	INA44	-71.3	7.02	128.70	307.02	.	.
IN	A	INA45	-70.31	1.51	129.69	301.51	.	.
IN	A	INA46	-67.42	13.18	132.58	313.18	.	.
IN	A	INA47	-68.27	14.65	131.73	314.65	.	.
IN	A	INA48	-74.38	15.73	125.62	315.73	.	.
IN	A	INA49	-50.87	20.5	149.13	320.50	.	.
IN	A	INA5	-12.48	182.04	187.52	482.04	12	1
IN	A	INA50	14.93	104.48	214.93	404.48	1	0
IN	A	INA51	-71.47	-11.77	128.53	288.23	18	0
IN	A	INA52	-74.77	-12.02	125.23	287.98	24	6
IN	A	INA53	-22.45	20.53	177.55	320.53	2	0
IN	A	INA54a	-19.33	25.42	180.67	325.42	.	.
IN	A	INA54b	18.39	281.15	218.39	581.15	.	.
IN	A	INA55	18.33	294.78	218.33	594.78	.	.
IN	A	INA56	25.76	303.8	225.76	603.80	14	1
IN	A	INA57	27.42	315.77	227.42	615.77	.	.
IN	A	INA58	22.63	340.83	222.63	640.83	.	.
IN	A	INA59	33.43	345.51	233.43	645.51	.	.
IN	A	INA6	-25	159.23	175.00	459.23	16	3
IN	A	INA60	134.91	283.35	334.91	583.35	7	1
IN	A	INA61	122.27	271.91	322.27	571.91	8	0
IN	A	INA62	129.18	259.58	329.18	559.58	10	0
IN	A	INA63	108.85	326.34	308.85	626.34	3	0
IN	A	INA64	120.93	360.33	320.93	660.33	.	.
IN	A	INA65	129.26	371.53	329.26	671.53	.	.
