*Data set for Kinship 1.0												
* Parentage analysis for Prunus mahaleb. Only parent trees.												
*Genotype block												
GROUP	ID	MOM	DAD	Fm001	FmMg3	Fm018	Tt403	TtE02	TtMC5	Hx406	Hx402	HxA05
1	NM1	¥	¥	122/124	191/191	246/248	127/127	175/187	239/239	98/98	138/152	200/200
1	NM2	¥	¥	122/124	191/191	246/248	127/127	175/187	239/239	98/98	138/152	200/200
1	357	¥	¥	124/126	179/193	246/248	109/145	175/185	235/239	98/100	138/152	200/202
1	359	¥	¥	124/126	195/195	246/248	125/127	185/185	239/239	98/100	148/154	200/202
1	360	¥	¥	124/124	179/195	248/248	107/145	163/175	235/239	100/102	140/148	196/202
1	362	¥	¥	124/124	179/195	246/248	107/107	169/185	235/239	98/98	148/152	196/200
1	364	¥	¥	122/124	195/195	246/248	107/145	149/163	235/235	100/102	140/148	196/200
1	365	¥	¥	122/124	177/195	246/246	107/107	175/185	235/235	98/102	148/154	200/200
1	372	¥	¥	122/124	179/195	246/248	107/145	149/185	235/235	98/102	148/152	196/200
1	373	¥	¥	122/124	195/207	246/246	107/107	185/189	235/239	100/102	138/152	196/200
1	375	¥	¥	122/122	179/205	246/248	107/107	185/185	235/235	98/98	148/148	200/200
1	377	¥	¥	122/124	179/179	248/248	107/145	149/185	235/239	98/102	148/152	196/196
1	378	¥	¥	124/124	179/179	246/248	105/107	169/171	235/235	98/100	148/148	200/200
1	379	¥	¥	124/126	187/195	248/248	107/125	149/185	235/239	100/102	140/152	196/202
1	380	¥	¥	122/124	179/205	246/248	107/107	171/185	235/235	98/98	140/148	196/200
1	385	¥	¥	124/124	179/179	246/248	107/107	171/185	235/235	100/100	140/148	200/200
1	396	¥	¥	122/126	179/187	246/248	107/107	149/185	235/239	98/100	140/152	196/202
1	397	¥	¥	124/124	179/179	246/248	106/106	185/185	235/239	98/98	148/148	196/200
1	398	¥	¥	124/124	179/179	246/248	107/107	185/185	235/239	98/98	148/148	196/196
1	399	¥	¥	124/124	179/179	246/248	105/107	185/185	235/239	98/98	148/148	200/200
1	400	¥	¥	124/124	179/179	246/248	106/106	169/185	235/235	98/98	148/148	200/200
1	1820	¥	¥	124/124	179/205	246/248	113/119	175/185	239/239	98/98	138/138	200/202
1	1821	¥	¥	124/124	177/179	246/246	107/107	175/175	235/235	98/98	142/152	200/202
1	1822	¥	¥	124/124	179/195	246/248	125/145	149/185	235/235	98/100	140/152	196/200
1	1823	¥	¥	114/124	179/179	246/248	107/107	175/175	235/235	98/98	142/142	200/202
1	1824	¥	¥	122/124	179/179	246/246	145/145	185/185	235/235	98/98	138/142	200/200
1	1825	¥	¥	122/124	179/207	246/246	107/127	169/185	235/239	98/100	138/138	200/200
1	1826	¥	¥	124/124	179/195	248/248	107/107	185/189	235/239	98/102	148/152	200/200
1	1827	¥	¥	124/124	179/195	248/248	107/107	185/185	235/235	102/102	148/148	200/200
1	1828	¥	¥	124/124	179/195	248/248	107/107	169/185	235/235	102/102	148/148	200/200
1	1829	¥	¥	124/124	179/195	248/248	107/107	169/185	235/235	102/102	148/148	200/200
1	1830	¥	¥	122/126	179/179	246/248	107/107	185/189	239/239	98/100	148/152	200/202
1	1831	¥	¥	124/124	179/195	246/248	107/125	175/185	235/235	100/102	142/152	200/202
1	1832	¥	¥	124/124	179/179	246/246	109/145	149/189	235/239	98/102	124/148	200/200
1	1833	¥	¥	124/126	179/195	248/248	107/125	175/185	235/239	100/100	142/148	200/202
1	1834	¥	¥	124/124	179/179	246/248	107/107	169/175	235/235	102/102	142/148	200/200
1	1835	¥	¥	124/132	179/207	248/248	107/107	161/175	235/235	98/98	140/142	200/200
1	1836	¥	¥	114/124	179/179	246/248	107/107	175/175	235/235	98/102	142/142	200/202
1	1837	¥	¥	124/132	193/207	246/246	109/113	169/175	235/235	98/100	138/152	200/202
1	1838	¥	¥	124/124	179/179	246/248	107/127	175/185	235/235	102/102	148/152	200/200
1	1839	¥	¥	124/124	179/207	246/248	107/121	169/185	235/235	102/106	148/150	200/200
1	1841	¥	¥	124/124	179/179	246/248	107/107	169/169	235/235	98/102	148/150	196/202
1	1842	¥	¥	114/124	177/177	246/248	107/107	175/175	235/235	98/98	142/152	202/202
1	1843	¥	¥	124/124	179/179	246/248	107/119	185/185	235/239	102/102	138/148	200/200
1	1844	¥	¥	122/124	179/195	246/248	107/107	149/185	235/235	98/100	142/148	196/202
1	1845	¥	¥	126/126	187/195	248/248	123/125	185/185	235/239	100/100	142/142	200/200
1	1846	¥	¥	124/124	179/179	246/246	105/107	149/185	235/235	98/102	148/152	196/200
1	1847	¥	¥	126/126	187/195	248/248	107/125	185/185	239/239	100/100	142/142	202/202
1	1848	¥	¥	124/126	187/187	248/248	107/125	185/185	235/239	100/100	140/142	200/200
1	1849	¥	¥	124/124	191/191	246/246	107/127	175/175	235/235	102/102	152/152	200/200
1	1850	¥	¥	124/126	187/195	248/248	107/107	185/185	239/239	100/100	142/142	200/200
1	1921	¥	¥	124/124	195/195	248/248	107/107	169/185	235/235	102/102	148/148	200/200
1	1922	¥	¥	122/130	195/195	248/248	107/109	149/185	235/239	98/100	142/148	200/200
1	1923	¥	¥	122/126	195/205	248/248	107/115	185/185	235/239	98/100	138/152	196/200
1	1924	¥	¥	124/124	179/195	246/246	107/145	169/185	235/239	98/102	148/152	196/200
1	1925	¥	¥	114/124	177/179	248/248	107/107	175/185	235/235	98/102	142/152	200/202
1	1926	¥	¥	124/124	179/191	246/246	107/107	175/185	235/235	98/102	148/152	200/200
1	1927	¥	¥	124/124	179/179	246/248	105/107	185/185	235/239	98/98	148/148	196/200
1	1928	¥	¥	122/124	179/195	248/248	125/145	185/185	235/235	98/100	142/148	200/202
1	1929	¥	¥	124/124	179/191	246/246	107/127	169/175	235/235	102/102	148/152	200/200
1	1930	¥	¥	124/124	179/191	246/248	107/127	169/185	235/235	100/102	140/148	200/200
1	1931	¥	¥	124/124	179/179	248/248	107/107	185/185	235/235	102/102	148/148	200/200
